CO2_loading,MEA_mol,Temp,log_x_H2O,log_x_CO2,log_x_MEA,log_x_OH-,log_x_HCO3-,log_x_CO32-,log_x_MEACOO-,log_x_H3O+,log_x_MEAH+,x_H2O,x_CO2,x_MEA,x_OH-,x_HCO3-,x_CO32-,x_MEACOO-,x_H3O+,x_MEAH+,gamma_H2O,gamma_CO2,gamma_MEA,gamma_OH-,gamma_HCO3-,gamma_CO32-,gamma_MEACOO-,gamma_H3O+,gamma_MEAH+,G_ex,Henry_mix_CO2,fugacity_pure_solvent_H2O,fugacity_pure_solvent_MEA,log_gamma_mix_CO2,liq_enthalpy
0.001,0.001,343.6763158,-0.001658285,-17.85965396,-7.979024833,-7.329084115,-14.15625606,-18.93296434,-15.14261137,-21.77860045,-7.327579368,0.99834309,1.75E-08,0.000342573,0.000656174,7.11E-07,5.99E-09,2.65E-07,3.48E-10,0.000657162,4.21E-05,0.045256657,-0.710533263,-0.145102268,-0.192980571,-0.765392269,-0.208908846,-0.199639874,-0.152710242,-0.012128221,1374.908923,0.317505805,0.014241899,0.046476619,-282431.4081
0.001,0.001,347.8868421,-0.00166321,-17.62139417,-7.993344958,-7.321648818,-14.1329131,-19.09111131,-15.223605,-21.58097678,-7.32016377,0.998338172,2.22E-08,0.000337703,0.000661071,7.28E-07,5.11E-09,2.45E-07,4.24E-10,0.000662054,4.32E-05,0.045063039,-0.672570678,-0.147866382,-0.195445859,-0.775770095,-0.211410989,-0.202120194,-0.154343878,-0.012045167,1520.167432,0.379378563,0.018256149,0.046811783,-282099.4033
0.001,0.001,352.0973684,-0.001667385,-17.38925549,-8.005627528,-7.315393277,-14.11369294,-19.25187686,-15.30525996,-21.39019543,-7.313927479,0.998334004,2.81E-08,0.00033358,0.00066522,7.42E-07,4.36E-09,2.25E-07,5.13E-10,0.000666195,4.42E-05,0.044820703,-0.636200169,-0.150661312,-0.197932945,-0.786125139,-0.213889194,-0.204579873,-0.155980855,-0.011955553,1679.206712,0.451059092,0.023221911,0.047104893,-281765.9088
0.001,0.001,356.3078947,-0.00167085,-17.16315023,-8.015918548,-7.310233944,-14.09851203,-19.41515774,-15.38757613,-21.20601079,-7.308787446,0.998330545,3.52E-08,0.000330165,0.000668661,7.54E-07,3.70E-09,2.08E-07,6.17E-10,0.000669629,4.53E-05,0.044531304,-0.601351883,-0.15348905,-0.200444712,-0.796474024,-0.216347601,-0.207022871,-0.15762285,-0.011860077,1853.216904,0.533721356,0.029320629,0.047358087,-281430.8519
0.001,0.001,360.5184211,-0.001673643,-16.94305401,-8.024271106,-7.306096738,-14.08735593,-19.58092795,-15.47062853,-21.02818495,-7.304670104,0.998327757,4.38E-08,0.000327419,0.000671433,7.62E-07,3.13E-09,1.91E-07,7.37E-10,0.000672391,4.63E-05,0.044196109,-0.567959572,-0.156350987,-0.202983887,-0.806830898,-0.218789785,-0.209452597,-0.15927127,-0.011759368,2043.483059,0.628627169,0.036759286,0.047573015,-281094.1603
0.001,0.001,364.7289474,-0.001675801,-16.72900949,-8.030744159,-7.302916062,-14.0802822,-19.74924072,-15.55456903,-20.85648758,-7.301510387,0.998325602,5.43E-08,0.000325306,0.000673572,7.67E-07,2.65E-09,1.76E-07,8.75E-10,0.000674519,4.73E-05,0.043816043,-0.535960383,-0.159247985,-0.205553031,-0.817207638,-0.221218794,-0.211871942,-0.160927273,-0.01165399,2251.393142,0.737126992,0.045772484,0.047750896,-280755.7623
0.001,0.001,368.9394737,-0.001677357,-16.5211283,-8.035401441,-7.300633908,-14.07742173,-19.92022892,-15.63962663,-20.69069588,-7.299250838,0.998324049,6.68E-08,0.000323795,0.000675111,7.70E-07,2.23E-09,1.61E-07,1.03E-09,0.000676045,4.82E-05,0.04339173,-0.505294662,-0.162180426,-0.208154538,-0.827614026,-0.223637189,-0.214283324,-0.162591782,-0.011544448,2478.446701,0.860660202,0.056624498,0.047892573,-280415.5858
0.001,0.001,373.15,-0.001678342,-16.3195918,-8.038310495,-7.299199058,-14.07897877,-20.09410436,-15.72610653,-20.53059447,-7.297840802,0.998323066,8.18E-08,0.000322854,0.00067608,7.68E-07,1.88E-09,1.48E-07,1.21E-09,0.000676999,4.91E-05,0.042923524,-0.475905769,-0.165148263,-0.210790633,-0.838057913,-0.22604708,-0.216688724,-0.164265503,-0.011431192,2726.26421,1.000754793,0.069611275,0.047998556,-280073.5584
0.001,0.001,378.15,-0.001678808,-16.0888555,-8.039591793,-7.298533733,-14.08694914,-20.30473264,-15.83117476,-20.347578,-7.297208584,0.998322601,1.03E-07,0.000322441,0.00067653,7.62E-07,1.52E-09,1.33E-07,1.46E-09,0.000677427,5.02E-05,0.042310672,-0.442590774,-0.168717925,-0.213968748,-0.850517001,-0.228900098,-0.219539515,-0.166265688,-0.011292425,3049.942284,1.190862853,0.088262805,0.048078336,-279664.8962
0.001,0.001,383.15,-0.00167855,-15.86795084,-8.038629344,-7.298934085,-14.10211883,-20.5204484,-15.93953865,-20.17195712,-7.297646845,0.998322858,1.28E-07,0.000322751,0.000676259,7.51E-07,1.22E-09,1.20E-07,1.74E-09,0.00067713,5.12E-05,0.041635907,-0.410915369,-0.172335513,-0.217201675,-0.863044619,-0.231745647,-0.222386037,-0.168280049,-0.011149567,3408.571168,1.409471097,0.111008101,0.048107985,-279253.3975
