Feature,Mean_Abs_SHAP
Current density (A/cm2),0.00030257585018688457
Voltage (V),0.047755659274632656
Faradaic efficiency,0.0637448533935362
CO conversion,0.05935739612097706
Crossover rate,0.0002163243840940493
Capture energy (MJ/kgCO2),0.026303620178252628
Electricity price (USD/kWh),0.0006259744283074232
Membrane cost (USD/m2),0.0009166349510776301
