Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper,S2_sum
Pd_C103,-0.006774299973831162,-0.07356215372659268,0.059581642164888385,1.0067740912285297,0.9404185512482213,1.07356069200069,0.009685262356169573
Pd_C301,-0.006774152002827183,-0.07356199033575118,0.05958145903114386,1.006774152002827,0.9404185409688561,1.0735619903357512,0.009685273358784392
HX100,-0.0068098041508950335,-0.07376581763086623,0.05950023469577155,1.0068004175490968,0.9405204603166368,1.0735993720285661,0.00968532195178271
T_E110,0.9857835931445302,0.7689045252186458,1.2051129216355212,0.011727208589651488,-0.20075094051543707,0.2268397504252395,0.009685211922177726
L_R100,-0.00677754519412637,-0.07358007408806468,0.05952029998260706,1.0067801273961952,0.9403940470438155,1.0735480393624743,0.009685360614577492
D_R100,0.005705834373334411,-0.06355652675454622,0.07537136669246874,0.9951560360190465,0.9344077117596171,1.064613418930994,0.009685287785592177
F_S220,-0.006699414263888312,-0.07344787695055706,0.05959954262440506,1.0066975390863966,0.9403028238244371,1.073481419101959,0.009685321056931828
T_E120,-0.006774152002827183,-0.07356199033575118,0.05958145903114386,1.006774152002827,0.9404185409688561,1.0735619903357512,0.009685273358784392
P_V100,-0.006774152002827183,-0.07356199033575118,0.05958145903114386,1.006774152002827,0.9404185409688561,1.0735619903357512,0.009685273358784392
Pd_P150,-0.007014899633642422,-0.0736608615747401,0.05976716740035619,1.0069740550612796,0.9406289680882062,1.07393971434795,0.009685328296000474
HX150,-0.005624447679200209,-0.07215926047148322,0.06223137211123831,1.0057619731108733,0.9393618493388,1.0733833939814659,0.009685292412457535
HX220,-0.006781530188017301,-0.07355284365192581,0.0595805597288834,1.0067802476754995,0.9404312100911972,1.0735774567151986,0.009685275578027609
T_E220,-0.006774152002827183,-0.07356199033575118,0.05958145903114386,1.006774152002827,0.9404185409688561,1.0735619903357512,0.009685273358784392
Rr_D200,-0.0067584965179505775,-0.07358964170908494,0.05959009840588417,1.0067611531327503,0.9404131021430039,1.0735377531952313,0.009685371831866803
Pc_D200,-0.006759479316463335,-0.07355426360863382,0.059606553110067156,1.0067598318949451,0.9404069954805029,1.073542408152125,0.009685393074013726
F_S220.1,-0.006774152002827183,-0.07356199033575118,0.05958145903114386,1.006774152002827,0.9404185409688561,1.0735619903357512,0.009685273358784392
