Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1,Y
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.020042222
0.0764311645179987,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.02003983
0.431029474362731,0.26740321423858404,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.020042222
0.431029474362731,0.8143679723143578,0.7675684848800302,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.020045035
0.431029474362731,0.8143679723143578,0.806412766687572,0.9803184876218438,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.705463
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.265676430426538,0.8398779975250363,0.6977758491411805,0.603962441906333,0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.020029102
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.2450177976861596,0.6977758491411805,0.603962441906333,0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.003666713
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6697916854172945,0.603962441906333,0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.02064196
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.6241790791973472,0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.020042222
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.0857978668063879,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.020042222
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.8062289599329233,0.557722651399672,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.02079994
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.8062289599329233,0.11465848237276077,0.6211666194722056,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.019377774
