Feature,Inflection_Point,Type
T_E110,210.0888958530426,Primary (f1)
T_E110,222.59978568124774,Primary (f1)
D_R100,1.7039909193105995,Secondary (f2)
D_R100,1.7120109056867658,Secondary (f2)
