Feature,S1,S1_conf,S1_CI_lower,S1_CI_upper,ST,ST_conf,ST_CI_lower,ST_CI_upper,S2_sum
Pd_C103,3.2255909048855514e-05,2.292510400024236e-05,9.330805048613155e-06,5.518101304909787e-05,1.7806089331080727e-08,5.62070519425517e-09,1.2185384136825556e-08,2.3426794525335898e-08,0.0
Pd_C301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HX100,0.00013365887557731496,0.0005928918293647837,-0.0004592329537874687,0.0007265507049420987,1.166711677408727e-05,2.404094527172402e-06,9.263022246914869e-06,1.4071211301259672e-05,0.0
T_E110,0.9820039317000687,0.13837447546923645,0.8436294562308323,1.1203784071693053,0.9793461245136964,0.12146225421028221,0.8578838703034142,1.1008083787239786,0.0
L_R100,-4.859081652636366e-06,0.00010232737147630806,-0.00010718645312894443,9.746828982367169e-05,3.600813154421618e-07,6.880955807556896e-08,2.9127175736659285e-07,4.288908735177308e-07,0.0
D_R100,0.023064645959126957,0.026967478476151368,-0.0039028325170244113,0.050032124435278325,0.019315682194466093,0.003899864237941864,0.01541581795652423,0.023215546432407957,0.0
F_S220,-0.00013929126629003404,0.00041811683087007533,-0.0005574080971601094,0.00027882556458004126,6.097100265915637e-06,1.3532317545806676e-06,4.743868511334969e-06,7.450332020496305e-06,0.0
T_E120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_V100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pd_P150,-6.087120928288132e-06,0.00016026337982039124,-0.00016635050074867937,0.0001541762588921031,1.0268645269920875e-06,2.672379945521643e-07,7.596265324399232e-07,1.2941025215442519e-06,0.0
HX150,-0.003671937104857545,0.007855233029667173,-0.011527170134524718,0.004183295924809628,0.001787482998219494,0.0006268823622702647,0.0011606006359492294,0.0024143653604897586,0.0
HX220,-2.9775588239456275e-06,8.64514626812053e-05,-8.942902150515092e-05,8.347390385725967e-05,2.162483360405782e-07,5.0859892479142046e-08,1.6538844356143614e-07,2.6710822851972024e-07,0.0
T_E220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rr_D200,6.388445865589826e-07,6.280316493925052e-05,-6.216432035269154e-05,6.34420095258095e-05,1.335623777734948e-07,1.9193484770932973e-08,1.1436889300256182e-07,1.5275586254442778e-07,0.0
Pc_D200,-7.039112704918236e-07,2.3795095601144875e-05,-2.44990068716367e-05,2.309118433065305e-05,1.966226553897872e-08,4.362187309825202e-09,1.5300078229153517e-08,2.4024452848803923e-08,0.0
F_S220.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
