Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
0.0,0.0,0.0,0.22106095542262102,0.0,0.02367653385070035,0.0,0.0,0.0,-0.00022123200282014865,-0.0006061195912388162,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.07236894022627839,0.0,-0.002388559560109343,0.0,0.0,0.0,0.0005230932015074796,-0.0006339705979178983,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0723685197363106,0.0,-0.0023878172226625208,0.0,0.0,0.0,-0.00023925000304979294,-0.0006345375810047242,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.08789177760696823,0.0,-0.0023874309933386633,0.0,0.0,0.0,-0.0002385242591359804,-0.0006351473660531959,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.07236858898318642,0.0,-0.002388184951738302,0.0,0.0,0.0,0.0005177798489013063,-0.0006338236428105075,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.40666929816063235,0.0,-0.002387296614623085,0.0,0.0,0.0,-0.00023953536415549648,-0.0006344714087803607,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.07236847189785862,0.0,-0.002387991522032272,0.0,0.0,0.0,-0.00023944632323397164,-0.0006342147999027823,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1826414101102787,0.0,-0.0023874428124851152,0.0,0.0,0.0,-0.00024062975470209857,-0.0006345857624191799,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.4126745032602933,0.0,0.0036308759781384444,0.0,0.0,0.0,-0.0002201249966679586,-0.0006149482962050305,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.13258025732342052,0.0,-0.0023887191539014264,0.0,0.0,0.0,-0.00023910186561176827,-0.0006339654481980077,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0723687109043665,0.0,-0.002388429515152909,0.0,0.0,0.0,0.0005225967406720794,-0.0006343550445926072,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.06715416520331008,0.0,-0.002388255280941555,0.0,0.0,0.0,-0.00023960516888775485,-0.0006342868962893133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.111453182473619,0.0,0.0229955789045731,0.0,0.0,0.0,-0.0002390547274408461,-0.0006343825663070023,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.07165841373073074,0.0,-0.003015052289383994,0.0,0.0,0.0,0.0005265502718549697,0.00351590726835011,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.07236789387208946,0.0,-0.0023873254055234074,0.0,0.0,0.0,0.0005058084322311363,-0.000635059591505784,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.07236843713669164,0.0,-0.002388224437353904,0.0,0.0,0.0,-0.0002392225202225151,-0.0006342404487595871,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3507310560722046,0.0,-0.0023884026571729757,0.0,0.0,0.0,-0.00023919847095749125,-0.0006343596880600187,0.0,0.0,0.0,0.0,0.0
