Region_Index,Region_Label,x0_Pd_C103,x1_Pd_C301,x2_HX100,x3_T_E110,x4_L_R100,x5_D_R100,x6_F_S220,x7_T_E120,x8_P_V100,x9_Pd_P150,x10_HX150,x11_HX220,x12_T_E220,x13_Rr_D200,x14_Pc_D200,x15_F_S220.1
0,0.10<x3<0.18 & 0.10<x5<0.40,0.0022694583,0.0,0.058368992,17.514435,0.010371586,11.291166,0.048953976,0.0,0.0,0.016715884,0.60522145,0.008964591,0.0,0.0064943787,0.0029638305,0.0
1,0.10<x3<0.18 & 0.40<x5<0.41,0.0015960508,0.0,0.02698514,39.583427,0.0437933,9.588818,0.0069634984,0.0,0.0,0.04839981,0.3361139,0.010427366,0.0,0.017791864,0.007331773,0.0
2,0.10<x3<0.18 & 0.41<x5<0.90,0.0052005006,0.0,0.11656432,32.376892,0.02162634,1.9961387,0.08061392,0.0,0.0,0.039647445,1.5812805,0.014592293,0.0,0.01286081,0.003814358,0.0
3,0.18<x3<0.41 & 0.10<x5<0.40,0.0015257739,0.0,0.034226287,11.080128,0.0060616024,6.3402505,0.024427833,0.0,0.0,0.011246618,0.51469034,0.0053167148,0.0,0.003859888,0.001563073,0.0
4,0.18<x3<0.41 & 0.40<x5<0.41,0.0025981115,0.0,0.051988892,90.73223,0.08617729,20.93228,0.5594146,0.0,0.0,0.0032451306,8.371611,0.049906913,0.0,0.026065998,0.012652541,0.0
5,0.18<x3<0.41 & 0.41<x5<0.90,0.0021829267,0.0,0.050822753,15.307618,0.008770528,0.9345392,0.037063003,0.0,0.0,0.013104106,0.5212395,0.006860425,0.0,0.005443961,0.0021212671,0.0
6,0.41<x3<0.90 & 0.10<x5<0.40,0.00090930855,0.0,0.022053193,6.487443,0.004126801,4.028206,0.016911287,0.0,0.0,0.0065463195,0.23403461,0.0031101375,0.0,0.0024667939,0.0009550772,0.0
7,0.41<x3<0.90 & 0.40<x5<0.41,0.0005444141,0.0,0.020123169,7.731161,0.00075160194,1.8780226,0.0072042705,0.0,0.0,0.0046493625,0.16826463,0.0016661604,0.0,0.0032981373,0.0015482943,0.0
8,0.41<x3<0.90 & 0.41<x5<0.90,0.0010205964,0.0,0.024686486,7.0493917,0.0042758794,0.447467,0.018067358,0.0,0.0,0.007504871,0.29741117,0.0034660632,0.0,0.002642233,0.0010140946,0.0
