Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.003329808682145891,0.0013720662574294973
Pd_C301,0.0876141769876751,0.08914453979050921
HX100,0.003417402673045385,-0.0015413286884081122
T_E110,0.3020104655063339,0.2971796114540326
L_R100,0.021368211893573016,0.02011854030272463
D_R100,0.033937073675395064,0.0317466813822127
F_S220,0.01781767895123659,0.015372191088112653
T_E120,0.055026461095026714,0.048305058987672976
P_V100,0.004158049126484966,0.003226940259266414
Pd_P150,0.11063351870668683,0.10839950602792729
HX150,0.15251728646871932,0.14780978795335176
HX220,0.03847771168168138,0.034326248654992265
T_E220,0.023426624466246753,0.023825127289525003
Rr_D200,0.07653475896472386,0.07509554540866346
Pc_D200,0.0169186534999978,0.013955160788282
F_S220.1,0.07907562263295356,0.07664477013468123
