S1_Current density (A/cm2),S1_Voltage (V),S1_Faradaic efficiency,S1_CO conversion,S1_Crossover rate,S1_Capture energy (MJ/kgCO2),S1_Electricity price (USD/kWh),S1_Membrane cost (USD/m2),ST_Current density (A/cm2),ST_Voltage (V),ST_Faradaic efficiency,ST_CO conversion,ST_Crossover rate,ST_Capture energy (MJ/kgCO2),ST_Electricity price (USD/kWh),ST_Membrane cost (USD/m2)
0.003949492391396606,0.2515651324663257,0.34534627235430043,0.3495789947241829,0.0035737415804932018,0.06866658334335392,0.0034623056782399865,0.003762998422749696,0.9968577271815368,0.8376227300457157,0.6448851275200809,0.5618101228692437,0.9964810554127636,0.949186645442842,0.9962931800073118,0.9971206606533822
0.013947052062696657,0.2028785033069599,0.3757401258774011,0.37761794855389264,0.013849686865497849,0.07568618647238015,0.013702496285694955,0.013664555856739553,0.9863564713689466,0.7707565554778493,0.6681610644464182,0.5767849696593417,0.986136599726446,0.933218386492093,0.9861644836561602,0.9863669849817897
-0.001233593411072249,0.23386020202535035,0.4094134227457591,0.3944618435931388,-0.0012542195869966208,0.047753574409311175,-0.0012542195869966208,-0.001512766303816074,1.001475831058556,0.8350820714840981,0.6836643546662637,0.6505694155563541,1.0013583098236383,0.9239569057926479,1.0013141794007303,1.001139096744628
-0.0035905259063916685,0.25576948577902314,0.3464741731579389,0.44876704555666574,-0.003626652570490071,0.07574585849469459,-0.003856346792844114,-0.0037122861446492483,1.0037377086119779,0.8579759851470962,0.6669818941982193,0.6674047099706302,1.0038215581533418,0.9572342177615571,1.003689985734712,1.0036596571771972
-0.025592841308609376,0.22952753330123454,0.36527339490283683,0.34364775798311664,-0.0256140782177573,0.015886073960855264,-0.02531168309836836,-0.025732266233884887,1.0253592353079821,0.8741302819217281,0.6813083802973239,0.6154351814959628,1.0253292266320122,0.9360543389654512,1.0256505503008593,1.02541971433186
-0.00251153959218495,0.2332084322162586,0.3630977958790509,0.3508455092247465,-0.0025432836862370987,0.07802369384302903,-0.002619376146979749,-0.003651992853499648,1.00284438575482,0.8416478761580085,0.6688974499760398,0.5545972374423278,1.0028047056372549,0.9760668419470949,1.0027220776277368,1.0018495818662152
0.02416249960613241,0.18837133359912048,0.3633632397230716,0.37862215613062666,0.02419570525146107,0.06659147411434296,0.024135289424543648,0.02327009788792474,0.9757388058369185,0.7604993516270422,0.6179576624005216,0.5598717649303306,0.975724047772328,0.9137318750808352,0.9757166687400327,0.9745747634923417
0.04117658493773119,0.2430483700226017,0.42131266137886175,0.2727003637026357,0.04169266616729352,0.10774819908561352,0.04160243549903517,0.041953809953205266,0.9581416722354279,0.782709382594028,0.6402447056329492,0.459804375197739,0.9586238572880255,0.9125446304645961,0.9585121431273247,0.9592483108016865
-0.009621444673434672,0.19639487787887364,0.4149176074256824,0.45971561372978326,-0.009563144059971093,0.03659520989161325,-0.009605250058583679,-0.00964781876047772,1.0096635506720473,0.8384661127526574,0.7203416666229447,0.6620641883234395,1.009677431770491,0.9448341939071113,1.0097153734395705,1.0094035114278685
-0.011499671975602976,0.22647569029661857,0.2540757698329816,0.45566496314446336,-0.011689240509149566,0.044366724334587465,-0.011573850966990772,-0.012001524904992018,1.0115633193817937,0.8341505246276222,0.6161045847082551,0.6414518208024702,1.011561029906751,0.9578449085567894,1.0115802614971108,1.012127446032348
-0.019252397348468887,0.18924421831521374,0.3558711351260436,0.3604118003482789,-0.01953814842479421,0.05009688071576912,-0.019566813109566657,-0.019565917338167517,1.0197862771023556,0.8466511331910819,0.6878604245799194,0.5733423215997999,1.01956323002397,0.9650071687308122,1.0194951513976356,1.0197365617897034
0.004552844551812899,0.16205553306863957,0.3046494744604236,0.411621394911665,0.004773381280173747,0.07275905103570879,0.00482538151928199,0.004313272021635639,0.9951063681668885,0.7521357152214754,0.6043120354965195,0.6048227521306182,0.995315761986869,0.9611585692104915,0.9953970123604756,0.9950260463689802
0.006380304595727095,0.1654901509607969,0.4265583024514563,0.3673687432885761,0.00643493569862605,0.07835631968965266,0.006596977105529732,0.006786797039331187,0.9934502463901965,0.7588948469216692,0.696717244215485,0.5871504005725952,0.9935650643013739,0.9566270311345073,0.9937724773022106,0.9939447041689768
0.0030068711404125066,0.181061825116885,0.2448813615751424,0.3760430457811715,0.0027652313988521826,0.1116367979238005,0.0027868227826037704,0.002932909166284727,0.9976532739330137,0.7555256589781323,0.5466781760338898,0.6118134087275631,0.9973859082874089,0.9834847322805356,0.9974561951323875,0.9976495988038645
-0.004364176673348237,0.17814356949612872,0.28618704793252076,0.36763973715642045,-0.00490259932336348,0.05276721863833769,-0.005065925474267847,-0.005785667834185395,1.005485313810912,0.7813127897217467,0.6086373701113741,0.5779726545924254,1.0048910649906726,0.9460553566805664,1.0047932538494528,1.004089198181995
0.0010901451338217194,0.23196143832207405,0.40761681840873215,0.3652330071041297,0.000921653690746483,0.07694414800240026,0.0007813223774331246,0.00034906438558829817,0.999356192922904,0.8475524427445565,0.6995625128069594,0.5766763998810844,0.9991970881897494,0.9523494269823932,0.9990689595993328,0.9992261869905034
0.01587415044444975,0.19255125810602294,0.3634563913225326,0.3913046899215147,0.015763754966507195,0.08806032156321439,0.015649202336675588,0.015116624989111708,0.984303221369483,0.775543063051282,0.6408143893848184,0.5826419772840421,0.9841179971575376,0.9413986424398919,0.9841447876919337,0.983928615793703
0.03681940294274165,0.23075540264181946,0.3128495796811304,0.4381651010207172,0.0367855027564996,0.09396675799680664,0.03686444839569342,0.03664014990316039,0.9630923636958064,0.7563922472974273,0.5541994625109021,0.623830445052074,0.9630997938736129,0.9201059987686605,0.9631346228320807,0.9630881842207903
-0.0057382796720803295,0.18127260028949022,0.363996715583571,0.330900670884639,-0.005485754059954923,0.02671173615823765,-0.005706001962259789,-0.006035899143513845,1.0054501536447116,0.7996769055055454,0.6526880123604291,0.5547099735445844,1.0056993565514143,0.9292723851072194,1.0055654989900997,1.0053893956026965
-0.008528725794189769,0.20383136449669687,0.3901485399627368,0.5062060906299382,-0.008485606032011843,0.04429961668333672,-0.008468073821016421,-0.00876422603377691,1.008379938922499,0.8339642916611072,0.6972907562374526,0.7078840024270101,1.0084784983789057,0.9559681049169988,1.0085220919846238,1.0083145485139213
-0.00885970735704945,0.1860647355098541,0.36876022601593317,0.4456942452182785,-0.009021826777194798,0.04724625642483987,-0.009009633951724256,-0.008409927573025031,1.0092105897789239,0.8045540142558856,0.6758727405843052,0.6809241830181376,1.0089920220927113,0.9407216827663785,1.0090809845600333,1.009514055657302
-0.006433253029315921,0.18547542659629773,0.3525174233235313,0.30552457471445704,-0.006561445816772959,0.03178541079868832,-0.006500746758401075,-0.0055617232658270845,1.0066099144678609,0.8194402911757297,0.6497628681678422,0.5087607674821468,1.006406074346463,0.9363403359073119,1.0065224897046836,1.0070637984715074
-0.0164922343587473,0.15141523307130994,0.3591816894286725,0.411101011275679,-0.016552906028605166,0.031095957601360157,-0.016514296784150163,-0.01730394776002754,1.0166884980180602,0.7854577329770305,0.6736242178776559,0.63478331795592,1.016655404379956,0.9589566463451251,1.0167257283609277,1.0159301021448368
-0.014870509894941885,0.12841125532787087,0.35980325237352306,0.3569127330716701,-0.014770207963331845,0.05359650045781317,-0.014757442262945113,-0.014844978494168421,1.01469771702185,0.7684965956918464,0.6746103403618815,0.5752530705804599,1.0148057695572663,0.9692632215918568,1.0148262858614592,1.0147332786157846
-0.027157090666005204,0.2169601381360321,0.3346344834022841,0.34278563965479425,-0.026917182773499648,0.03784223994813401,-0.026880054171088075,-0.02745078743123522,1.0267243996455935,0.8687659967705068,0.6502170468137938,0.5991014334629671,1.0269647835458222,0.9751475348109615,1.0270452288510472,1.0270561770286815
0.0037453848983724867,0.200997079803276,0.38652069416853846,0.3740081605487092,0.003689615907360282,0.06106115883484976,0.0038569228803968965,0.004887496962242269,0.9961020569526602,0.7984802587437667,0.6599224310243197,0.590355915095244,0.9962186648429585,0.951204331981818,0.9964634031423591,0.9978580888184164
0.02081599069505558,0.23731347814707066,0.41888703665821486,0.35629137040340164,0.020789658710933766,0.07739525257776067,0.020901342643588356,0.02030887300084755,0.9791899113013856,0.7844730607156465,0.6885919505319559,0.5542988315107067,0.9791944512986479,0.9375236324261517,0.9792920612397891,0.9791572233210963
0.000498745095947573,0.2517582159567229,0.40199284866981305,0.2588783935801568,0.00016513197054783546,0.04996409289111562,0.00041185699782814275,0.00031614069722598964,1.0000216542082971,0.8672849834581996,0.6555846879225055,0.4915678372071771,0.99976656562077,0.9468507845815651,0.9999984220965005,1.0000732294964856
-0.023344986688265065,0.17294975728344156,0.38704653722093457,0.35112290812292546,-0.023356632357595834,0.030375088454251725,-0.02334824747567768,-0.02442663645570687,1.0233170370818712,0.8154353179528229,0.72373452268171,0.5768258015543812,1.0232485605462063,0.9651371364124433,1.0232466972391134,1.022559602748598
0.01983936046575898,0.24774961991419103,0.4454161857326399,0.36967417857834867,0.019918040809067547,0.038308634386690854,0.019798615287974188,0.018732215634917036,0.9799630020052159,0.7863508155440424,0.7389534020666615,0.5811880736839454,0.9801250460456015,0.8755143779277196,0.980068845800381,0.9793087374837751
-0.005072738660921707,0.1903497530335217,0.40009927264324063,0.3438311292704294,-0.004750037233437066,0.05076696707199503,-0.004769261999329769,-0.003853796956820149,1.0045403957387025,0.7859122384142039,0.7184992236138805,0.5594152013168139,1.0049193982663014,0.9503068734228688,1.00492992611429,1.005912220104903
0.0008653836043343459,0.20994682433613993,0.3788461022020136,0.34212248898060005,0.0007291826027193485,0.06767030225261109,0.0007621575820577162,0.0009074386504470468,0.9994022394163828,0.7907236669104069,0.6707105127610404,0.5862902645705572,0.9991551660204707,0.9461017695527959,0.9992211159791474,0.9992956681063473
0.005207082696385874,0.1306342445131165,0.35440477435689144,0.435930017167684,0.0052999015071747285,0.08148484620416496,0.005446022209307677,0.005036608543897434,0.9946660955621403,0.7357691598235437,0.6863702535232142,0.5836740508694234,0.9946371471211516,0.964264259036284,0.9948747081368835,0.9949937183942811
-0.010957958665992454,0.1712203518463867,0.3983526170625222,0.4114023568745018,-0.010927803028018988,0.033287113503313,-0.010860740489839194,-0.010926002691423558,1.0109854137990728,0.8049296891056448,0.704181052888746,0.6284192882798304,1.0111154881180926,0.9432445988069498,1.0112100057893527,1.0109480568147176
