,Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
Current density (A/cm2),0.0,-0.00555822199160082,-0.005558241850465272,-0.005558230007204833,-0.00555823943783728,-0.005558254888505081,-0.005558198149018859,-0.005558243303290892
Voltage (V),-0.00555822199160082,0.0,-0.0055581550652193555,-0.005558270597412322,-0.005558169962317758,-0.0055582288013882744,-0.005558184662985117,-0.005558229958550702
Faradaic efficiency,-0.005558241850465272,-0.0055581550652193555,0.0,-0.00555823030620099,-0.005558211722701802,-0.00555825843122831,-0.005558183769081832,-0.005558197872346909
CO conversion,-0.005558230007204833,-0.005558270597412322,-0.00555823030620099,0.0,-0.005558204359686007,-0.005558244404916448,-0.005558219567951248,-0.005558254936394796
Crossover rate,-0.00555823943783728,-0.005558169962317758,-0.005558211722701802,-0.005558204359686007,0.0,-0.005558223028751711,-0.005558155433266836,-0.00555824051750792
Capture energy (MJ/kgCO2),-0.005558254888505081,-0.0055582288013882744,-0.00555825843122831,-0.005558244404916448,-0.005558223028751711,0.0,-0.005558177055615992,-0.005558293392389145
Electricity price (USD/kWh),-0.005558198149018859,-0.005558184662985117,-0.005558183769081832,-0.005558219567951248,-0.005558155433266836,-0.005558177055615992,0.0,-0.005558206082502381
Membrane cost (USD/m2),-0.005558243303290892,-0.005558229958550702,-0.005558197872346909,-0.005558254936394796,-0.00555824051750792,-0.005558293392389145,-0.005558206082502381,0.0
