Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
0.00031952991532822547,-0.026377985616425192,-0.08997933145588916,-0.08257978340005227,0.00011700319957790274,-0.007916496035177252,7.650005437118135e-05,0.0009036480393426077
-0.00019653650805900738,-0.02637797649910982,-0.08997933108631204,-0.0825797834484062,0.00011700320104694066,-0.007916496105359135,7.650011942517132e-05,0.0009036480133848274
0.0003195295246300347,-0.09146423111547754,-0.08997933129105061,-0.08257978312492405,0.00011700344540830577,-0.007916496069464433,7.650013489174379e-05,0.0009036476602583354
0.00031952991202972267,-0.026377985694853136,-0.10193480116823803,-0.08257978344703414,0.00011700298124380389,-0.007916496011381436,7.650035624720553e-05,0.0009036479263365973
0.00031952984963670706,-0.026377986060272463,-0.08997933305816581,0.07635224786531612,0.00011700486226584677,-0.007916495920619054,7.649964215007687e-05,0.0009036477217228885
0.00031952999454605097,-0.026377984946150193,-0.08997933103125036,-0.08257978175571355,0.00015124340353179976,-0.007916496047373177,7.649991112493315e-05,0.0009036480407840306
0.00031952996939205196,-0.026377985609010668,-0.08997933137252744,-0.082579783289333,0.00011700329871110491,0.002021445811329757,7.649979281088015e-05,0.0009036481277490186
0.0003195299343981054,-0.02637798532197762,-0.08997933100476593,-0.08257978248705118,0.00011700317743126853,-0.007916495986255155,0.00025119955216295676,0.0009036480509703314
0.00031952990579321006,-0.026377985905481714,-0.08997933159009934,-0.08257978379504664,0.00011700319201088399,-0.007916495975348124,7.649988750924042e-05,0.0004738398882632067
-0.00019653650135129097,-0.09146422156908873,-0.1019347990107712,0.07635224940574045,0.0001512430059318306,0.0020214461791329386,0.00025119845648689657,0.0004738395547888461
-0.0001916725628654115,0.09908200582583605,0.0465321659467493,0.006147924798341239,-9.802149852641828e-05,0.05899346385184403,-0.00013636125445684418,-0.0009350800928880891
-0.00013414671056956838,0.09908199939826892,0.046532164749888916,0.0061479246667365236,-9.802142900991462e-05,0.05899346394486546,-0.0001363611269541825,-0.0009350799969840954
-0.00019168049601523557,0.02759992823958214,0.04653217260304475,0.006147930166972395,-9.802420418489333e-05,0.05899346693197173,-0.00013635414774484597,-0.0009350764193749391
-0.0001916755130514281,0.0990820117646251,-0.0038174462989194052,0.00614793036088702,-9.80238860384397e-05,0.05899346768462449,-0.0001363548502281934,-0.0009350774104019377
-0.00019167242216918968,0.09908201541886044,0.046532175737846015,-0.0771533660165177,-9.802206261416702e-05,0.05899347153931596,-0.00013635268756410717,-0.0009350706593527036
-0.00019167248159639486,0.09908201299668717,0.04653217073263856,0.006147929851874966,-7.133553946570004e-05,0.058993463752613856,-0.0001363611088821705,-0.0009350803089770733
-0.00019167252180132295,0.0990820149030713,0.04653217384863327,0.006147934163565815,-9.802164597208507e-05,-0.05888817697739877,-0.00013635267219452076,-0.0009350701722792892
-0.00019167257489495767,0.09908201758954883,0.046532172914150814,0.006147931250466454,-9.802149082094314e-05,0.0589934736724189,-0.0001360386294601586,-0.0009350800895064542
-0.00019166807610805376,0.09908201404278982,0.046532173659125715,0.006147931169058822,-9.801805595907598e-05,0.05899347300050841,-0.00013635734445413325,-0.000494943079261419
-0.00013413764543310892,0.027599937115876202,-0.003817450598539222,-0.07715337871133143,-7.134676576939225e-05,-0.058888183033143644,-0.00013604794217308706,-0.0004949442883870688
-0.00019690090035081844,-0.08454340228540658,-0.04317672102383641,-0.06352239165475886,9.838581352680786e-05,0.024517966381016335,0.0002701181334504805,-0.0008586203839790811
-0.00019029174553010744,-0.08454339634811422,-0.04317672073423943,-0.06352239142957841,9.838634681988423e-05,0.024517966378798904,0.00027011811338270727,-0.0008586203863073758
-0.00019689107948489285,0.09110039868017845,-0.04317671577548724,-0.06352238788779464,9.839145885225803e-05,0.024517967553859158,0.00027012396717469855,-0.0008586213461655799
-0.00019690087462850625,-0.08454339459675665,0.10388695880275908,-0.06352238768876602,9.839109495736464e-05,0.024517967514901592,0.00027012353343058653,-0.000858621361341167
-0.0001969009071832744,-0.08454340143472933,-0.04317672135803151,-0.08620040931374413,9.83857927245313e-05,0.024517965897865004,0.0002701179967039822,-0.0008586202102153812
-0.00019690116328309,-0.08454340030329713,-0.043176720589052885,-0.06352238984377989,-0.00012606523308757698,0.024517967591236745,0.00027012259670297634,-0.0008586202656790171
-0.0001969008931164439,-0.08454340243472307,-0.043176720811489225,-0.06352239168494374,9.838576748733008e-05,0.03505439882312191,0.00027011810831032633,-0.0008586205287498838
-0.00019690089987959154,-0.08454339745608326,-0.043176717569766085,-0.0635223892214569,9.839090891455848e-05,0.024517967581369156,-0.00013637639472665377,-0.0008586167437551054
-0.00019690090036471056,-0.08454340307269292,-0.04317672075950431,-0.06352239203575573,9.838586395954918e-05,0.024517967780009784,0.0002701214474759585,-0.0011311366793788676
-0.00019029327307919195,0.09110038264342747,0.10388693691274273,-0.08620040899329712,-0.00012607027061420362,0.03505439680425848,-0.0001363803166203132,-0.0011311414377303658
-0.00015394301077494807,0.035467293859817006,0.16119297520303277,0.23435958295629525,-0.00010922828316412003,-0.038634644728472625,-0.00013340011190551105,0.0007718493861639877
-0.0001984080757772451,0.0354672938598171,0.1611929752030326,0.2343595829562953,-0.00010922828316417554,-0.03863464472847267,-0.00013340011190557402,0.0007718493861640823
-0.00015395074181945217,-0.03388806955254121,0.16119297963849802,0.23435958271685386,-0.00010922837658733364,-0.03863464481471697,-0.0001334004887723925,0.000771848275880556
-0.0001539435506648115,0.03546729714405954,-0.0712460106902428,0.23435958501019408,-0.00010922849068831231,-0.03863464499545176,-0.00013339782298619915,0.0007718471337215511
-0.00015394330630355863,0.03546729104813753,0.1611929761888764,-0.04333310684780973,-0.000109228304118969,-0.03863464925126339,-0.00013339947550168222,0.0007718398261376927
-0.00015394298959834916,0.0354672949761845,0.16119297830744123,0.23435958785516284,6.039737253954458e-05,-0.03863464473634444,-0.00013340008041788707,0.0007718493850552051
-0.00015394302323401261,0.03546729395664963,0.16119297505422875,0.23435958278066063,-0.00010922834886956112,-0.029203461264564898,-0.00013340015477123634,0.0007718496090578674
-0.00015394302108587217,0.03546729382325698,0.16119297481179387,0.23435958255884787,-0.00010922825644409364,-0.0386346447054667,-9.197376337222174e-05,0.0007718490515808174
-0.00015394300768439368,0.0354672923934414,0.16119297141029074,0.23435956607447994,-0.00010922831330745231,-0.038634643404040506,-0.00013340113648505517,0.0010900408481082301
