Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2),Y
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.68931365
0.8062289599329233,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.6893029
0.431029474362731,0.11465848237276077,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.5196797
0.431029474362731,0.8143679723143578,0.5282927993685007,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.7463354
0.431029474362731,0.8143679723143578,0.806412766687572,0.6730628991499543,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.33112523
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.3810601634904742,0.8398779975250363,0.6977758491411805,0.603962441906333,0.6894564
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.5940352017059922,0.6977758491411805,0.603962441906333,0.65628666
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.4230410596355796,0.603962441906333,0.6890389
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.362950730137527,0.6907062
0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.18673576
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.26734304
0.2973193386569619,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.2673728
0.5750568713992834,0.6342582115903497,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.32244772
0.5750568713992834,0.41154405754059553,0.12353839818388224,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.351456
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.49670358933508396,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.2986549
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.563084208406508,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.26768166
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.26917659025639296,0.18233556486666203,0.35684311017394066,0.29278028
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.9470405746251345,0.35684311017394066,0.2677507
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.6486160727217793,0.26561892
0.2973193386569619,0.6342582115903497,0.12353839818388224,0.49670358933508396,0.563084208406508,0.26917659025639296,0.9470405746251345,0.6486160727217793,0.46236175
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.36897764
0.05954157840460539,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.37061754
0.8459417913109064,0.751314147375524,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.40051332
0.8459417913109064,0.6267595672979951,0.4275001725181937,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.41530687
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.17263545747846365,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.46380556
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.03795269876718521,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.36882845
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.8287346679717302,0.9895772682502866,0.15196625422686338,0.4324222
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.5642716344445944,0.15196625422686338,0.36862174
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.1335778133943677,0.36885196
0.05954157840460539,0.751314147375524,0.4275001725181937,0.17263545747846365,0.03795269876718521,0.8287346679717302,0.5642716344445944,0.1335778133943677,0.60612416
0.14817404188215733,0.09893466718494892,0.07106497325003147,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.38944155
0.5518497377634048,0.09893466718494892,0.07106497325003147,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.38906735
0.14817404188215733,0.4973584767431021,0.07106497325003147,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.48266476
0.14817404188215733,0.09893466718494892,0.9606725387275219,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.12552668
0.14817404188215733,0.09893466718494892,0.07106497325003147,0.9974971152842045,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.35520262
