Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.4406602830078744,0.43706413781784975
Voltage (V),0.013193870598992963,0.010883841471943002
Faradaic efficiency,0.37434951591877513,0.3686732006529971
CO conversion,0.03206009847850605,0.031101581374839073
Crossover rate,4.093654372262925e-05,5.0261897379572864e-05
Capture energy (MJ/kgCO2),0.0006173499548937658,0.0007246989601875269
Electricity price (USD/kWh),0.1478378343694868,0.1436874527153305
Membrane cost (USD/m2),0.00035314703522725004,0.0003604977983936582
