Feature,Mean_Abs_SHAP
Current density (A/cm2),196100003.48618653
Voltage (V),27191688.07921619
Faradaic efficiency,220212745.89309895
CO conversion,35735153.180353805
Crossover rate,829643.4119141155
Capture energy (MJ/kgCO2),3452416.799303244
Electricity price (USD/kWh),100840314.8303357
Membrane cost (USD/m2),5084841.197972011
