QAgNO3(%),Qpva(%),Qtsc(%),Qseed(%),Qtot(uL/min)
-0.16632545868921444,-0.0063019757340594664,-0.05863216758097554,-0.10379594026144698,0.0006118536519153506
-0.08862525793834548,0.013186303380049856,-0.04925987353725033,-0.09260317151110621,0.004223576267327528
-0.16632545868921444,-0.0063019757340594664,-0.05863216758097554,-0.10379594026144698,0.0006118536519153506
-0.10750828510287966,-0.003133881286369781,-0.03696267897545131,-0.060206889179563336,0.005937195117013211
-0.03564803368419897,-0.003323555100790049,0.15451616099595428,0.1657710045725799,-0.06338381140700007
0.013565937017096633,0.013325261805955502,-0.05383536796598002,-0.09604244143034109,0.0274714009836664
-0.05671749797702727,-0.011554324892132761,-0.034540740566702324,0.2403400676656018,0.016612560732572057
0.2219458544807287,-0.0017138801940252968,-0.02842723754989182,0.01857512680630967,0.0032087605726915606
0.21914505125047537,-0.006156788774644428,0.050726413260944264,0.10699627450324467,0.00367848886982114
-0.08862525793834548,0.013186303380049856,-0.04925987353725033,-0.09260317151110621,0.004223576267327528
-0.17491953664440676,-0.004919720851929844,-0.05810726035984909,-0.1043260297011905,0.0039902390069399
0.05192016182618833,0.0008274702094979436,-0.03683966347118358,-0.11456542145398235,0.0031621613217143506
-0.09262674697599903,-0.002015541636562446,-0.04212394011016515,-0.051447225813658556,0.004399394593679634
0.05973841871572818,0.0063124671712834375,-0.023778623416946882,-0.09989685927676308,-0.003666391256172241
0.037881458846733045,-0.004961346713184164,-0.040842428513920635,-0.11596898678141579,0.0019636109664362827
0.02381857763485362,0.010264030679977826,-0.04024240619582334,-0.03965626793053821,0.0031129224726572854
0.22418770296786023,-0.0007161807351279692,-0.01618274075454288,0.16435435940555665,0.0005308875491648231
0.013305471464011258,0.010742794452915715,-0.050491455916380455,-0.10774616168448604,0.0002641127867338833
-0.13629509044017357,-0.007757735101313891,0.06537494165198696,-0.09897219443024143,-0.005922123215625269
-0.03564803368419897,-0.003323555100790049,0.15451616099595428,0.1657710045725799,-0.06338381140700007
-0.03564803368419897,-0.003323555100790049,0.15451616099595428,0.1657710045725799,-0.06338381140700007
-0.09262674697599903,-0.002015541636562446,-0.04212394011016515,-0.051447225813658556,0.004399394593679634
-0.0973055461972732,-0.010527646113672497,-0.07215033435825954,-0.106592852832217,0.0007434344853309294
-0.04884488229124211,0.01344537137662516,0.1534944993130508,0.18276312033476058,-0.07973705050027745
