Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.0006439198101588601,0.0006247271753512091
Pd_C301,0.040177552637776774,0.03987331417241452
HX100,0.013594026922097066,0.013354664657166053
T_E110,0.6498397692915291,0.6499456635744938
L_R100,0.0008805626048835959,0.0008605196527598617
D_R100,0.1089842824140666,0.10994675686502174
F_S220,0.04116322179998239,0.041127021237559236
T_E120,0.030603571518345894,0.03038377363716716
P_V100,0.00177980560867467,0.0017771172476971268
Pd_P150,0.005961379538392841,0.006034155569100503
HX150,0.057898595657611296,0.057301543305085516
HX220,0.015657971666273557,0.015637216010013142
T_E220,0.00549136360692282,0.005374611370736462
Rr_D200,0.002814475070827266,0.00280684439080673
Pc_D200,0.008497907543549255,0.009035713223428957
F_S220.1,0.016486634984042785,0.016528071825752513
