Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper,S2_sum
Pd_C103,-0.0013309771998075758,-0.07637327961407868,0.07060702825128887,1.0014340802311297,0.9295109162165932,1.0766419356494643,-0.05995041477275026
Pd_C301,0.013203073288452176,-0.05935778158580346,0.08745679203558936,0.9871929086343356,0.9162640584274968,1.06199894161584,-0.06453092219170461
HX100,-0.0008942924769196655,-0.07597865059458846,0.07238254966006878,1.0007626145975004,0.9279565564306873,1.0767837238185964,-0.05248144589135131
T_E110,-0.0033920759086683984,-0.08419893798988931,0.0796234772272552,1.0044403393177241,0.9271960480188187,1.0833883715555246,0.004715209163711397
L_R100,-0.0021666605175174854,-0.07914714799965643,0.07052550200035582,1.0020400274421966,0.9310670842231381,1.0791966439583427,-0.05733385057640286
D_R100,0.0011843440366028546,-0.07632281867019287,0.07422676092492562,0.9988158862169749,0.9257833258771774,1.0751178700224624,-0.0634974020758742
F_S220,0.0024495005307453087,-0.07406192871495948,0.07316280787247462,0.9974492158584947,0.9244029861889976,1.0713470435791448,-0.062165899714494335
T_E120,0.012072919483611586,-0.06315553566948476,0.08374492830653361,0.9876773253962517,0.9160819354067811,1.0609993153908663,-0.07392425125683638
P_V100,-0.0013329469280994985,-0.0768052462736273,0.07036471268440675,1.0013329469280994,0.9296352873155933,1.0768052462736273,-0.058959288986892414
Pd_P150,0.7831017696058443,0.6042862708824089,0.9584108120284572,0.21030933966576043,0.03255289265432578,0.3825521164448643,-0.08179494389888323
HX150,0.21762256276692998,0.09536649156514852,0.3355573833796094,0.7850450652985794,0.6696696540113535,0.8920767593902575,-0.17640683106536656
HX220,-0.000536084033766048,-0.07636363614841066,0.07058938102369543,1.0005684469125595,0.9284460119765613,1.076083387203907,-0.05938960058688757
T_E220,0.003531735564245826,-0.07165262531199233,0.07566389504693218,0.9966690172724658,0.9243029278820064,1.0734989326996236,-0.06227201406007394
Rr_D200,-0.0024493608262420004,-0.07813519583681265,0.06921524369078193,1.002746190321206,0.9278801277909541,1.0773790582558107,-0.04408580467785053
Pc_D200,-0.002355553658877107,-0.08073266478852918,0.0702093674046197,1.002382517948163,0.9297433812048633,1.07766479879314,-0.050771887569723034
F_S220.1,-0.0013329469280994985,-0.0768052462736273,0.07036471268440675,1.0013329469280994,0.9296352873155933,1.0768052462736273,-0.058959288986892414
