Feature,Mean_SHAP,Abs_Mean_SHAP,Mean_Abs_SHAP
Pd_C103,0.00066482568337974,0.00066482568337974,0.00066482568337974
Pd_C301,0.004923396789842168,0.004923396789842168,0.004923396789842168
HX100,0.0019217422410368033,0.0019217422410368033,0.0019217422410368033
T_E110,0.022598969192326814,0.022598969192326814,0.022598969192326814
L_R100,0.0017480017189142735,0.0017480017189142735,0.0017480017189142735
D_R100,-0.0010306365250073034,0.0010306365250073034,0.0010306365250073034
F_S220,0.017567973152975497,0.017567973152975497,0.017567973152975497
T_E120,0.003211912459200711,0.003211912459200711,0.003211912459200711
P_V100,2.2203402009897997e-05,2.2203402009897997e-05,2.2203402009897997e-05
Pd_P150,0.14286033568464634,0.14286033568464634,0.14286033568464634
HX150,0.0862071463245045,0.0862071463245045,0.0862071463245045
HX220,7.074275781437128e-05,7.074275781437128e-05,7.074275781437128e-05
T_E220,-0.0009952832259594107,0.0009952832259594107,0.0009952832259594107
Rr_D200,0.010454971467708464,0.010454971467708464,0.010454971467708464
Pc_D200,0.012808268090912222,0.012808268090912222,0.012808268090912222
F_S220.1,1.4355201218693203e-05,1.4355201218693203e-05,1.4355201218693203e-05
