Feature,Global_Attribution_Score
x4,0.9946586
x12,0.061009113
x8,0.022307888
x5,0.01840782
x3,0.0013580833
x6,0.0002625454
x7,0.00015950188
x14,0.00011793854
x15,6.852443e-05
x1,4.1215215e-05
x11,1.5790234e-05
x2,0.0
x9,0.0
x10,0.0
x13,0.0
x16,0.0
