Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.0016401704699427822,0.0016652505060564564
Pd_C301,0.00024653676198490616,0.00025993582789979623
HX100,0.05885365466267384,0.05902305616072804
T_E110,0.9237567362083813,0.9240206916105268
L_R100,7.518329922519656e-05,0.00010757904451461628
D_R100,1.316064745713747e-05,2.4339652662287962e-05
F_S220,0.0008551106342831162,0.0007879457717217808
T_E120,1.6890926458668024e-06,2.0477808414336857e-05
P_V100,1.3743927351580032e-07,1.0480822949669984e-05
Pd_P150,0.0014576647948647272,0.0015202024739240426
HX150,0.004917527379480333,0.0017307098279345167
HX220,0.0024206240098617717,0.0024972590844275716
T_E220,0.0024953318137024426,0.002548445145344288
Rr_D200,0.0011012446548789227,0.0011539654615266796
Pc_D200,0.00254206135361882,0.0024502372889754712
F_S220.1,7.747060470457217e-08,-3.250709281379261e-06
