Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.001819257057600277,0.0018520293608899592
Pd_C301,0.0003189505839955346,0.00032765059256993054
HX100,0.05849569902377435,0.05836978441432473
T_E110,0.9241188347005577,0.9241856020662885
L_R100,1.3178445245729825e-05,2.8670996334658705e-05
D_R100,7.635403993802841e-05,6.146370423395075e-05
F_S220,0.0007992091593354558,0.0008923188505600983
T_E120,1.362516695158051e-06,-2.234260974298756e-05
P_V100,6.876650071543405e-08,-2.4303301088754007e-06
Pd_P150,0.0014086987178315636,0.0014985068478481486
HX150,0.00556779492120679,0.005455458916380296
HX220,0.0017554289980487557,0.0017924155482175663
T_E220,0.0016534505620576056,0.0016706047770028453
Rr_D200,0.0010547263412828097,0.0010331015309466408
Pc_D200,0.0025776051665434936,0.0025552875637760886
F_S220.1,6.994010452511083e-08,5.834507888982915e-06
