Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper
Unnamed: 0,-0.0001450533079757063,-0.030016471414265264,0.03025369503690553,1.000121135444239,0.9692029326359645,1.0295771818733537
Acc. Surface Area [m^2/g],0.1357781430939795,0.08624622500564233,0.1830447714431018,0.8649234589746343,0.8149090427525072,0.9164244741124654
Void Fraction,0.11043385378824452,0.06977380736124318,0.15015318592345303,0.8889882660991789,0.850750143527678,0.9303095423165109
PLD,0.011334422818553548,-0.02306752200312765,0.04223787353184861,0.9879272878522737,0.9560903492039198,1.021526589156526
LCD,-0.012507133140454547,-0.04402018138749878,0.017161691045007227,1.012301460957751,0.979446598309505,1.0431715315550916
Density,-0.0013628148932254987,-0.034229327199573674,0.030829957194732756,1.0012029150298658,0.9666872382172559,1.0350346945402946
Channel Volume,-0.023014910020813056,-0.053530017851957455,0.007883473283174118,1.0230320096757843,0.9911658744252265,1.054363867086841
