Feature,Total_Effect (ST),First_Order (S1)
Unnamed: 0,0.0001776836691949032,-0.00011890970178061814
Acc. Surface Area [m^2/g],0.4295973267441839,0.3886203640858855
Void Fraction,0.3426944859077567,0.311636021605712
PLD,0.09068156493401228,0.07813776682281921
LCD,0.013212127293756868,0.010125493028446968
Density,0.18233420228901825,0.1556688133646296
Channel Volume,0.001438926198541785,0.0002096104733708569
