Unnamed: 0,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume
0.00030428032923102144,-0.01550321216186214,-0.011054813311589284,-0.007111960109164498,-0.0029826715318477114,-0.0019748956588911534,-0.0007242635933648562
-0.0002597580388008086,0.029504821565062712,0.00854891385184893,-0.008924695749660743,-0.004523514291865793,0.006003639688667609,-0.0015465841406604374
0.00028369212243700703,0.005444918430516236,-0.003018157817149593,-0.010101392149824128,-0.004326661108366339,-0.004250391016968742,-0.0010755719609441734
0.0005218504640358002,0.12362479381447866,0.08427856944026578,0.009537308348923652,0.001894114867273316,0.036320944457401236,0.0011533634091722732
-0.0018162176590609813,0.1008196863774413,0.09180661736120015,0.02216445321962825,0.008048434704046072,0.03816578306030743,0.0031392883963883484
0.0002946115800060295,-0.04362383139181003,-0.03633121228459631,-0.0085130179718466,-0.004251844055250713,-0.014640856301056803,-0.0003259192171056023
0.0008782439220419685,-0.011438386054516367,0.008458381064499906,-0.010817263724449976,0.0007469419455466454,-0.0010213923356418343,-0.0010939398943064678
-0.0003210471891122845,-0.0191146536801,0.02395374960957426,0.01053493023208686,0.0018114799589955476,-0.0034842723100112784,-0.0013251119062854416
0.0008572871438220428,-0.007084096116323111,0.004679848474271486,-0.0072571549584738125,-0.003383296234055515,-0.003988824955127107,-0.0008440913755809521
0.00036014993470734336,-0.04388508664605399,-0.04273454494874505,-0.011771301078896672,-0.004105094207362721,-0.009631695910929165,-0.0003164685028667894
0.0002306571814040259,-0.05229781413267784,-0.04917520974922014,-0.010648429711693703,-0.004127714316404708,-0.013527722042842867,-0.00015207923048831065
0.0004779902179134071,0.025285216212992335,-0.003310254933066408,-0.0025993475882708146,-0.0017305678378010054,0.014470273129133876,-0.0015289185264732636
-0.0007521005850887532,-0.023846213707472617,-0.007388638397053022,-0.009593655390840708,-0.003282594346129802,-0.0059918754379321305,-0.0006643984058336619
0.00015520387640344246,-0.0471313684780892,-0.05845611224915218,-0.009586631761076112,-0.003903597502731059,-0.025718710178599013,-7.618899433340395e-05
-0.0008641814412499449,0.05600228350326775,0.057527401941859,0.004675355616512262,0.007181328993463556,0.02402326741351294,0.0004271534561002504
7.291291663173716e-05,-0.01969311188991247,0.03662887891197581,0.005355690447359786,0.005000224155483829,-0.0043122437053511814,-0.00045748705859672
0.00026246684573077994,-0.050685648098041255,-0.06220500623111278,-0.010348828638092781,-0.004052476682171186,-0.013320300293559129,-0.00010518714830983191
0.0011150332749643224,-0.03321049118606488,-0.009329427729536655,0.003041578484282937,0.0004215663234868189,-0.013124151555200652,-0.0010477727889068801
-0.0006756334569919528,-0.0312270127760115,-0.01637590871251549,-0.006391511720170474,-0.00357371734683854,-0.00541199550746552,-0.0006132142170819782
0.00037095185576148577,-0.0051150540051449955,0.013254162498294796,-0.005697861377576095,-0.0040854371495520824,0.0031336243383992403,-0.0010199696184203147
0.000203257015366623,-0.037836177152018174,-0.00668718529611378,0.0025897209503916,-0.00018736198804454593,-0.01725456004409822,-0.001067961642716828
