,Unnamed: 0,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume
Unnamed: 0,0.0,0.001004566282768208,0.0008395528986356857,0.000695160450310656,0.000712418544528603,0.0007280295279046497,0.000739901428913633
Acc. Surface Area [m^2/g],0.001004566282768208,0.0,0.26108656214052867,0.039337387892839734,0.030576004981134598,0.1364817577675827,0.02287408441762861
Void Fraction,0.0008395528986356857,0.26108656214052867,0.0,0.0338061037481863,0.022935043991442215,0.09607443892504774,0.01160582150570362
PLD,0.000695160450310656,0.039337387892839734,0.0338061037481863,0.0,0.009086617385063698,0.0190330989248148,0.0028502515743673838
LCD,0.000712418544528603,0.030576004981134598,0.022935043991442215,0.009086617385063698,0.0,0.011329069605989813,0.0034392068269177172
Density,0.0007280295279046497,0.1364817577675827,0.09607443892504774,0.0190330989248148,0.011329069605989813,0.0,0.0042566281395927654
Channel Volume,0.000739901428913633,0.02287408441762861,0.01160582150570362,0.0028502515743673838,0.0034392068269177172,0.0042566281395927654,0.0
