Feature,Mean_Abs_SHAP
Current density (A/cm2),0.0010738318317510594
Voltage (V),0.000726274146041752
Faradaic efficiency,0.0029227681472634957
CO conversion,0.0799263236080547
Crossover rate,0.046800593471935076
Capture energy (MJ/kgCO2),0.00037779704532384345
Electricity price (USD/kWh),0.0013076172282302425
Membrane cost (USD/m2),0.0006993764857785147
