CsPbI,FAPbI,MAPbI
1.2012516769271953e-05,1.0071687089607817e-05,0.2945502734898281
-1.2633289831309735e-05,1.0090841290666397e-05,0.2945502834239354
1.2014806270499445e-05,2.9911962337675346e-05,0.29455027927178906
1.2018632454174893e-05,1.0083949503608691e-05,-0.08659578842731802
-1.2640080725212499e-05,2.991477182748975e-05,-0.08659578851268933
-3.247157049801608e-06,3.3514543126056395e-05,-0.19189594565735507
1.201734412445421e-05,3.351063933229592e-05,-0.19189594746567307
-3.2463266204096897e-06,-5.532094898333395e-05,-0.1918959517187128
-3.2619185126314676e-06,3.350639405363953e-05,0.4021550807092959
1.2016342953002912e-05,-5.532579962191919e-05,0.402155082509853
-1.1813997601473059e-05,-5.53299750512444e-05,0.037726018523486934
-6.772841637400773e-06,-5.5316447590807866e-05,0.037726030234868334
-1.179509951412111e-05,1.0089956534183042e-05,0.03772602559377754
-1.1813997601223258e-05,-5.5329975051282565e-05,0.1690172887795292
-6.777304224492298e-06,1.0080123320058143e-05,0.16901729467790566
1.2018578126882229e-05,2.991752699013639e-05,-0.307432338502258
1.2018578126882229e-05,2.991752699013639e-05,-0.307432338502258
1.201732860250937e-05,3.351067037640765e-05,-0.30743233921627217
1.201857812693774e-05,2.9917526990108634e-05,-0.2679662852548062
1.201732860250937e-05,3.3510670376352136e-05,-0.26796628596882033
1.2017181143131328e-05,-5.53254270927242e-05,-0.08659579369705163
1.2017181143131328e-05,-5.53254270927242e-05,-0.08659579369705163
1.201868678132878e-05,3.2255371722016146e-05,-0.08659578697600713
1.201716562104771e-05,-5.532586170989284e-05,-0.1918959515091652
1.2019571537763563e-05,3.22544869655883e-05,-0.19189594523825995
-1.3289577327324498e-05,2.482163254147185e-05,0.4021550772711633
-1.0670511983223996e-05,2.482407726345226e-05,0.4021550783654673
-1.3271175945628322e-05,-5.5316548484285466e-05,0.4021550884082292
-1.3288956445978162e-05,2.4821415232967325e-05,0.29455027521277477
-1.065141210970788e-05,-5.5313312138177695e-05,0.29455028635760166
-9.084446355667186e-06,-5.532433278856996e-05,-0.2679662899579854
2.579802336810655e-06,-5.5320708391592976e-05,-0.2679662902218601
-9.084446355667186e-06,-5.532433278856996e-05,-0.2679662899579854
-9.084260091163365e-06,-5.5325054563737375e-05,0.03772602567914879
2.5849013278525512e-06,-5.531635445859412e-05,0.037726030328000607
1.2012664228538972e-05,3.224306274213218e-05,0.16901729016099123
-1.379194048573007e-05,3.224033086272893e-05,0.16901728868639715
1.2022776839676341e-05,2.4836937275923843e-05,0.16901729519789416
1.2016156688277047e-05,3.224876709281843e-05,-0.3074323427397758
-1.378348873309898e-05,2.4833243029737107e-05,-0.30743234225859245
1.2016637871592462e-05,-5.532557455206755e-05,-0.2926033928369482
-9.084446355667186e-06,-5.5324332788625474e-05,-0.2926033930387349
1.2016637871592462e-05,-5.532557455206755e-05,-0.2926033928369482
1.2016637871592462e-05,-5.532557455206755e-05,-0.2926033928369482
-9.084446355667186e-06,-5.5324332788625474e-05,-0.2926033930387349
-1.0673694002219514e-05,3.126611312234684e-05,0.10329434807257103
1.2018523799783853e-05,3.127836777537529e-05,0.10329435296977542
-1.0673694002219514e-05,3.126611312234684e-05,0.10329434807257103
-1.0673694002219514e-05,3.126611312234684e-05,0.10329434807257103
1.2018523799783853e-05,3.127836777537529e-05,0.10329435296977542
-1.3781144904689846e-05,1.967843466756103e-05,-0.14231770440625655
-1.327989157295928e-05,1.9681709818614168e-05,-0.14231770229525872
-1.3784381250631084e-05,3.3930976254287204e-05,-0.142317708201396
-1.3769084277359678e-05,1.9688818914426198e-05,0.3512992713445175
-1.3288483023510267e-05,3.3933087251858396e-05,0.3512992688221857
2.566771581835603e-06,3.393273800611496e-05,0.35129926875233636
1.2023250262005458e-05,3.394860929481491e-05,0.3512992735408868
2.5800506893713937e-06,1.967668843769199e-05,0.3512992660126959
2.571381628513336e-06,3.3932365477010173e-05,-0.142317703878507
1.201894289498684e-05,1.9679629864891024e-05,-0.14231769687806578
1.201763904341499e-05,-1.1003351149469626e-05,-0.02608969475453104
