Region_Index,Region_Label,x0_CsPbI,x1_FAPbI,x2_MAPbI
0,0.10<x2<0.36,0.00089565956,0.0030624191,13.053807
1,0.36<x2<0.90,0.0002433708,0.0008334224,6.455935
