Feature,Global_Attribution_Score
CO conversion,0.9186189
Crossover rate,0.29570326
Capture energy (MJ/kgCO2),0.24761318
Faradaic efficiency,0.004703918
Membrane cost (USD/m2),0.0032039525
Voltage (V),0.0017578152
Electricity price (USD/kWh),0.00024506162
Current density (A/cm2),0.00018543552
