Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.00010768363820052423,0.00014864311767724388
Voltage (V),0.22131919055032614,0.21516947498978384
Faradaic efficiency,0.34497156320232664,0.3392262847112933
CO conversion,0.38114564195391437,0.36384619704215687
Crossover rate,1.1379950203978588e-05,-8.742063447885772e-05
Capture energy (MJ/kgCO2),0.07405688020785353,0.05702898710812519
Electricity price (USD/kWh),3.1572809371404786e-05,5.0484581676242695e-05
Membrane cost (USD/m2),3.9601648260590244e-05,-8.744774395973112e-05
