Feature,S1,S1_conf,S1_CI_lower,S1_CI_upper,ST,ST_conf,ST_CI_lower,ST_CI_upper,S2_sum
P3HT content (%),0.4368024579659193,0.19516313859657705,0.24163931936934227,0.6319655965624964,0.3953052728439086,0.12456181604975405,0.27074345679415457,0.5198670888936626,0.0
D1 content (%),0.311291811371295,0.19257996292536989,0.11871184844592514,0.503871774296665,0.33031349162136986,0.13086917061970177,0.1994443210016681,0.46118266224107163,0.0
D2 content (%),0.2166772754675819,0.12385993905606325,0.09281733641151864,0.34053721452364516,0.17504750736045,0.057290217697093804,0.11775728966335619,0.2323377250575438,0.0
D6 content (%),0.05107584855177222,0.08406216986419394,-0.032986321312421726,0.13513801841596618,0.05385694549927133,0.03410879527141457,0.01974815022785676,0.08796574077068589,0.0
D8 content (%),0.03135513389316812,0.056649856918952746,-0.025294723025784623,0.08800499081212088,0.02820485043315438,0.011543020736266,0.01666182969688838,0.039747871169420385,0.0
