P3HT content (%),D1 content (%),D2 content (%),D6 content (%),D8 content (%)
0.11974012757709718,-0.06086047802583337,-0.053116472279708414,-0.011518603813463105,0.041859039676048614
0.029044899659458612,-0.0608604838071014,-0.05311647085154187,-0.011518602788592486,0.041859038768979194
0.11974013190317367,0.032317502748697956,-0.05311646407520006,-0.011518599183875211,0.04185904576775747
0.11974012740039534,-0.06086047752483172,-0.06248474346828604,-0.011518603642304871,0.04185903973356333
0.11974012674860807,-0.06086047867969946,-0.05311647263006307,-0.010984990661381741,0.041859038939028786
0.11974012651272856,-0.060860478289153745,-0.05311647251531088,-0.011518604187655207,0.005207966727210156
0.029044903855538012,0.03231749580632565,-0.062484736870447734,-0.010984984675693924,0.005207971952317824
-0.062497181283764615,0.14841530374389902,-0.06356107912225922,-0.004039644378159887,-0.005880972324216366
-0.10130767189797814,0.14841530229189506,-0.06356107858134372,-0.00403964446228379,-0.005880972276680137
-0.062497171383473056,-0.08510329833994287,-0.0635610796508402,-0.004039645523464835,-0.005880971480066697
-0.06249717282341978,0.1484153065851258,0.03945932109421674,-0.004039649870329828,-0.005880978541210351
-0.062497181291802845,0.1484153041142106,-0.06356107940331904,0.0027068265447658495,-0.005880972400163508
-0.06249718229075726,0.14841530081328186,-0.06356108287055535,-0.004039644858511625,0.03972111904821807
-0.10130765930973991,-0.08510329667506525,0.0394593202000362,0.002706828739610506,0.039721125400475496
-0.10120472192245968,-0.08450802644504059,0.10835286479019235,-0.009650560283140902,-0.024222843239632696
-0.10060584300122832,-0.08450802701603005,0.10835286460725398,-0.009650560804238054,-0.024222843217458326
-0.10120472503310476,0.15651533135248996,0.10835286136564158,-0.009650556104662422,-0.024222836997554044
-0.10120472148992123,-0.08450802494536182,-0.05586018936619874,-0.009650556085814166,-0.024222841644326986
-0.10120472301316033,-0.08450802771660088,0.10835286529050106,-0.0083566313185396,-0.0242228429111752
-0.10120472225174873,-0.08450802670711367,0.10835286548508098,-0.009650560144689804,-0.010872624947140665
-0.10060585053939759,0.15651533599080902,-0.05586019410153059,-0.008356630160900094,-0.01087262430491614
0.11746365660080864,0.02535907250781924,0.0521839411925092,-0.021035978302270903,-0.020795837724359667
0.11940414874892061,0.02535906931027833,0.05218394119916155,-0.021035978461926237,-0.020795837706620135
