Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.0060058620613237974,0.0064806974271294625
Pd_C301,0.021746147363338943,0.021507493520936515
HX100,0.12889183631028298,0.12835107599093012
T_E110,9.011913723719576e-05,0.0002900211893471159
L_R100,0.030698559458429094,0.030425638543238757
D_R100,0.030343325956487355,0.028627417539616055
F_S220,0.12129958095297193,0.12152277198509527
T_E120,0.03144055093957414,0.033109137021098266
P_V100,0.0005232835239768446,0.000533880165265749
Pd_P150,0.0017458767321815282,0.002361700407721265
HX150,0.15391325156715258,0.15391513318520167
HX220,0.047203344419594145,0.04768132368077684
T_E220,0.02132541243026697,0.021432072813820174
Rr_D200,0.07212861691188588,0.07235280211197215
Pc_D200,0.33065892190917345,0.3311738992561089
F_S220.1,0.00040508787147214693,0.00036886087059227583
