Feature,S1,S1_conf,S1_CI_lower,S1_CI_upper,ST,ST_conf,ST_CI_lower,ST_CI_upper,S2_sum
Acc. Surface Area [m^2/g],0.268131070636728,0.02763114343383602,0.24049992720289196,0.295762214070564,0.2683132413252014,0.015830739765995135,0.25248250155920626,0.28414398109119654,0.0
Void Fraction,0.21371888914891773,0.024757264980310698,0.18896162416860704,0.23847615412922843,0.21332311783044544,0.012452577823208195,0.20087054000723725,0.22577569565365363,0.0
PLD,0.3707830795301513,0.03590863018750229,0.33487444934264904,0.4066917097176536,0.37085107907140197,0.025469436697482428,0.34538164237391955,0.3963205157688844,0.0
LCD,0.11529941590820841,0.01943429092983246,0.09586512497837596,0.13473370683804087,0.11544299165758386,0.008739887708257135,0.10670310394932672,0.12418287936584099,0.0
Density,0.026539507761685642,0.009232683555997203,0.017306824205688437,0.03577219131768285,0.026634012368860045,0.0018764886775586122,0.024757523691301433,0.028510501046418658,0.0
Channel Volume,0.005392662192729767,0.0046506559713296244,0.0007420062214001429,0.010043318164059392,0.00540418324122163,0.00039351795487825635,0.005010665286343374,0.005797701196099887,0.0
