Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.000581389227699404,0.0005968125325739709
Pd_C301,0.0009106277956078021,0.0009148712690781813
HX100,0.04618865038491833,0.04609129633959635
T_E110,0.9342405743703152,0.9348122267659865
L_R100,0.0006783764785585822,0.0006511836209298099
D_R100,6.299329539884499e-05,0.00011448349280997727
F_S220,0.0002926659608432727,0.00025137521104091404
T_E120,9.257846381999508e-06,-4.09837341735719e-05
P_V100,2.903486243585661e-05,1.8218931722949194e-05
Pd_P150,0.0017893863798622376,0.0017452021274300404
HX150,0.007121639374819588,0.0032405571555561307
HX220,0.0021834818502359517,0.002188286483381462
T_E220,0.003290490001106427,0.003293839157232093
Rr_D200,0.0011089868551465432,0.001089690436499016
Pc_D200,0.001358653383563857,0.0010147076736619245
F_S220.1,9.396676594231453e-06,4.534902470240811e-05
