Feature,Total_Effect (ST),First_Order (S1)
theta,0.624042013509668,0.33724686324864706
r,0.5046201254024485,0.2000421082680261
n,0.2653657883125978,0.07656117630231828
t,0.13786200428183604,0.010970539240852601
