n,theta,r,t
0.057132895314516485,0.11876656201971972,0.05075197304734027,0.016629459339655206
0.03539693009505292,-0.11602276986681341,0.03061388285852664,0.013523235126933993
-0.031681942577148826,0.12914548857755126,-0.062334648643232335,0.0014119407128166048
0.01868966856461432,-0.0739582179344476,0.09902559840255636,0.08541924369261333
-0.08655072554921535,-0.01725542489868503,-0.0816773968574732,-0.005550527658023302
-0.09554369989835095,-0.008505187381898122,-0.07985500997151998,0.022953594215865895
0.021195150507352323,0.0659451492691075,0.08665906519362808,0.021214976652758073
0.030507329209600545,-0.11090021406988308,-0.02801573416925657,0.0076737236879954734
0.013564581068935766,-0.20144048989146407,0.02825894031694728,0.07278670632512788
0.04097003419679626,0.10113599359630204,-0.02163283521989287,-0.008988138916796895
-0.010403886650830974,-0.1999254239599771,0.07345552544422103,0.10009450339272706
0.02279002366743786,-0.14796246293580784,0.024919731489151328,0.06853058703186544
-0.060588575491469225,-0.07020326577967229,-0.008873698792884846,0.015766452534649394
0.0163710472082901,-0.1327564152736361,-0.0788390295019925,0.0001714800739275324
0.058231265325028106,0.06771615119908947,0.011939424610305227,0.12804642737890956
-0.11359581878142315,0.004919794533847541,-0.01893963655936487,0.02039733744248957
0.09484297327891476,0.13658602706715695,0.05173108589578832,-0.013609049077220214
-0.012544117442326034,-0.17370204201798123,0.01267163598621765,-0.055243508355134634
0.07904976034054469,0.15686851360889173,0.08368707456044389,0.042153619216875715
0.0964354855278779,0.0029067473458058313,-0.11628077774452517,0.009623100116079737
-0.08837786861427634,0.11544756553605222,-0.00867431520845472,0.012316972280677858
0.06627415106964735,0.04088398051428363,0.04066647777739027,0.11270781502486153
0.09404739912693304,0.10751322794044019,0.005601727369607207,0.012543299934615035
-0.06410910215854759,-0.061524561710180836,-0.0921741160792612,-0.006236015464150896
0.11000774825508541,-0.0969735110632941,0.10214567650120038,0.09438330582561459
0.0041629198218333385,-0.09945770847913071,0.08004746591330748,-0.029315633802094274
-0.03450044774961249,0.03194503905113192,0.06258547078463128,0.00858834860076789
0.0028522957628033807,0.1003493738125953,0.032235086800632,-0.11474986574201
0.04499324410787259,0.040292888245307114,-0.014266101402630543,0.019725009115312823
0.04198085415548643,0.1121155533246394,0.08136708133343594,0.0395669164157163
0.10168663488128649,0.08383271137858453,0.0028740349715390967,0.02728118959003708
-0.03737316638637413,0.06318980809582003,0.06960704212987205,-0.02408180475997515
0.05295528999084186,-0.11582481237731464,-0.078124943373576,0.03563409030134107
-0.0814584562195225,0.10985237979320243,0.054732025208447624,0.037953634132718156
0.02041357665647385,0.10457321962313831,0.007255144005731,0.0003804774251648657
0.05027392379307381,0.014188319953123057,0.08344959463094968,0.027488913596498625
0.03241968697627282,0.17247249603318457,-0.03195460661962626,-0.0024327176381409854
-0.041166026652224394,-0.061090263518911,-0.09161854220526874,0.013319803185137952
-0.008921206152361805,0.034618118922837005,0.04193648719191659,-0.025350334181567152
-0.13549676265977342,-0.06343690559232988,0.045922898156553864,-0.004142121120681269
0.0012930599941050058,0.14762284231117337,-0.015572319011495684,-0.001337283412244164
0.0029586702142451737,-0.13121163777680292,-0.03875175517963901,-0.01780311851367746
0.11744276729851459,0.10321054891006372,0.04266903617708521,0.026127750866322796
0.030079356245605003,-0.0494506061389781,-0.12829445588078037,0.01702591763435815
0.08712257463137531,0.10989354314043787,-0.04020978182127941,-0.006444058677590875
-0.03335612361418452,-0.0054004773223017485,0.09867401663441239,-0.006929743756362773
0.0007661889897589841,0.055462767955164895,0.0438503118092882,-0.003653963117860921
0.03475928603720078,-0.09055795150247928,-0.006840724733879193,0.03270888393036041
