Feature,Global_Attribution_Score
Acc. Surface Area [m^2/g],1.0763433
Void Fraction,0.91279274
LCD,0.766805
PLD,0.38238958
Density,0.24853423
Channel Volume,0.15009332
Unnamed: 0,0.011477114
