Feature,Mean_SHAP,Abs_Mean_SHAP,Mean_Abs_SHAP
Unnamed: 0,5.746267836737184e-05,5.746267836737184e-05,0.001289391717322995
Acc. Surface Area [m^2/g],-0.0027345361918376123,0.0027345361918376123,0.13158061774472055
Void Fraction,-0.0002942048530882701,0.0002942048530882701,0.11378017023038435
PLD,0.0060351302851187096,0.0060351302851187096,0.14609407737195465
LCD,-0.012746537047080474,0.012746537047080474,0.0862180665242744
Density,-0.0038545064713491,0.0038545064713491,0.03525945697997329
Channel Volume,-0.0022148290025556247,0.0022148290025556247,0.018685105376030388
