S1_Unnamed: 0,S1_Acc. Surface Area [m^2/g],S1_Void Fraction,S1_PLD,S1_LCD,S1_Density,S1_Channel Volume,ST_Unnamed: 0,ST_Acc. Surface Area [m^2/g],ST_Void Fraction,ST_PLD,ST_LCD,ST_Density,ST_Channel Volume
-0.02023832463159182,0.7606962610314043,-0.6923179525411617,0.20483720348445839,0.6445407360282391,-0.2127849782220763,0.09774776263062965,1.0188321059080527,0.16952555525959312,1.6534208275847673,0.7691756267126949,0.2777145724280835,1.2494829505491476,0.8780181948738432
0.03253857095431047,0.7615408269706834,-0.586518643359343,0.17440130559384173,0.6608632318604309,-0.15206441362496817,0.14536309555121052,0.9695443919735326,0.13247776639718167,1.6253079014025746,0.6550485978044064,0.249085760834185,1.1893554555410413,0.837925789123287
-0.012681091061920457,0.9167218539201804,-0.7241266091529776,0.027783646399842193,0.6991771040101286,-0.21682503575200834,0.1144042248054195,1.009062969623921,0.22679376407409557,1.6838058287776074,0.6058711611020415,0.30060536083710043,1.2370686011451646,0.8740216254486197
0.02180430027991765,0.8455547072693229,-0.5662409477204001,0.24617607736210484,0.5747630841221064,-0.1902223595148391,0.11991669025850846,0.9797522156901287,0.139998878883684,1.7431422304577766,0.7846364533616051,0.14149054002164518,1.1880432371567742,0.8195024110906444
-0.0018150705584656986,0.6449024699037819,-0.531029554836883,0.1977056206870052,0.60621701036874,-0.16564588517811843,0.1105951848986182,0.9988349767025472,0.013455481343648379,1.8075370366304688,0.7281234986557632,0.20745587399114973,1.2514490448675475,0.8553196043979813
0.014810375237809537,0.6816137908542316,-0.5931135768095172,0.2360591931663603,0.6636866866163735,-0.15894142059667815,0.1289080200150678,0.9829266372449855,0.02891667519784169,1.6968027647959947,0.7643619025222106,0.24224182234526992,1.2231279756301277,0.8454597889875
-0.01596067446751554,0.7275432950108731,-0.5847959513024896,0.14335716907041426,0.5315777831897645,-0.19771795701947,0.08453708706104898,1.0186588718527636,0.11858183039980441,1.783552808865069,0.717084858691677,0.13668055601385587,1.260276393058569,0.8609431800418625
0.006457886432553815,0.7606567180466338,-0.6722760862977694,0.31154425141722414,0.7776908797418254,-0.2030534959831575,0.13983763701779844,0.9951744492247218,0.15361578097001372,1.623104726633326,0.8546080185298921,0.3569060459867056,1.1951685913727725,0.8759007206488816
-0.023374923978217048,0.913179140999255,-0.8143884485206889,0.23062437156158144,0.7882819398618096,-0.26020475935164733,0.1299880924860019,1.0204789833715535,0.2578500503632194,1.6085017541494198,0.8147578605775799,0.3932095007905424,1.2142852005842808,0.9128668301053807
-0.026144387471711862,0.6886336896772128,-0.6064221210998163,0.21129595307743107,0.637382512899826,-0.20543441448545063,0.1100877737944376,1.022996480486971,0.032821869532969616,1.840461346654522,0.8053595071159155,0.2246441300142622,1.27879596475149,0.8950451589453288
0.00595760355633455,0.8708589550523843,-0.7334462525523471,0.336774388947671,0.8506182281306215,-0.24168575729836225,0.1646845609788454,0.9960003718760233,0.2681604184402957,1.5643152122989794,0.855403393974469,0.44548814247020585,1.1645390310272443,0.9040285290748713
-0.008267880222576055,0.9923150005113905,-0.7384569023606611,0.23104528609154917,0.6787133902690181,-0.2626346774519104,0.13926021482505727,1.0124379306721794,0.3645571633420752,1.5921785664086165,0.8007136674079137,0.30075664750243847,1.1799998524279967,0.9043086481178977
-0.0023942283670829252,0.8827583274593355,-0.724265041621884,0.19437730933785957,0.7376462172811341,-0.2143743064968898,0.1285077409819332,1.0052343961610026,0.26152901783547877,1.6232406452665464,0.734699111930571,0.33540128605615027,1.2116767672166386,0.8795414681807473
0.00562187698944249,0.6603641177949231,-0.5384633221533578,0.2854916041476076,0.5466641390478885,-0.18027279014142944,0.10332399322178412,0.9940314201077624,-0.0006034879023033568,1.7845852363983683,0.8329167238418512,0.13908992186947544,1.2275915452497108,0.8368511826762504
