,Unnamed: 0,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume
Unnamed: 0,0.0,0.005944314218051556,0.0059444147807416435,0.005944192520646889,0.005944253923400093,0.005944350857915235,0.005944287975589007
Acc. Surface Area [m^2/g],0.005944314218051556,0.0,0.005944238095206384,0.005943902638769306,0.005943955870977611,0.005944155304597205,0.005944391660169612
Void Fraction,0.0059444147807416435,0.005944238095206384,0.0,0.005943815100878659,0.005944162094362389,0.005944601391864122,0.005944303508710697
PLD,0.005944192520646889,0.005943902638769306,0.005943815100878659,0.0,0.00594389312063196,0.005943986714922146,0.00594404704052328
LCD,0.005944253923400093,0.005943955870977611,0.005944162094362389,0.00594389312063196,0.0,0.005944128198942292,0.005944193276254907
Density,0.005944350857915235,0.005944155304597205,0.005944601391864122,0.005943986714922146,0.005944128198942292,0.0,0.005944301501502273
Channel Volume,0.005944287975589007,0.005944391660169612,0.005944303508710697,0.00594404704052328,0.005944193276254907,0.005944301501502273,0.0
