Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,2.0434737362617255e-05,1.875391262050681e-05
Pd_C301,0.0005476729921286765,0.0005466945398393618
HX100,0.0007507648073601633,0.0006874712613724462
T_E110,0.045266462400380784,0.04526669026992478
L_R100,2.516634581860545e-07,9.189937721785473e-08
D_R100,0.0064939478529364505,0.006505542918496825
F_S220,0.0035550704012002384,0.003555088700672227
T_E120,9.817909013288605e-07,1.000574010313883e-06
P_V100,0.00014925241640731342,0.00014504134857545696
Pd_P150,0.8857774800990486,0.8859260071703693
HX150,0.0004329836678956048,0.00043315973028514406
HX220,0.0016359764746946511,0.0015599574393579591
T_E220,0.0014919445214744932,0.0014913668836463861
Rr_D200,0.025257687068837284,0.025182389654384022
Pc_D200,0.028686878758461678,0.028505441270821445
F_S220.1,0.000151896520916692,0.00014638485992211187
