Feature,Mean_Abs_SHAP
Current density (A/cm2),157318444.65225482
Voltage (V),29929017.815820146
Faradaic efficiency,318464958.20530844
CO conversion,34284024.01056155
Crossover rate,771799.1944225767
Capture energy (MJ/kgCO2),2940275.1906819
Electricity price (USD/kWh),93893109.43008827
Membrane cost (USD/m2),7367274.970928253
