,Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
Current density (A/cm2),0.0,0.0010102245970388805,0.0010103411624259894,0.0010102369982919134,0.0010103192549219752,0.0010103288559979626,0.0010102634864076377,0.0010103176354400072
Voltage (V),0.0010102245970388805,0.0,0.0010102566964317822,0.0010102797370625761,0.001010244875719987,0.001010306048183385,0.0010102265528188084,0.0010103566707599142
Faradaic efficiency,0.0010103411624259894,0.0010102566964317822,0.0,0.0010103177567386391,0.0010103551073172895,0.0010103408828237256,0.0010102786645071191,0.0010103778744824387
CO conversion,0.0010102369982919134,0.0010102797370625761,0.0010103177567386391,0.0,0.0010102695852942268,0.0010102913049904133,0.001010275737822304,0.0010102742429417915
Crossover rate,0.0010103192549219752,0.001010244875719987,0.0010103551073172895,0.0010102695852942268,0.0,0.0010102505163118176,0.0010102726673658676,0.0010103343257319658
Capture energy (MJ/kgCO2),0.0010103288559979626,0.001010306048183385,0.0010103408828237256,0.0010102913049904133,0.0010102505163118176,0.0,0.0010103622799014752,0.0010103532988069964
Electricity price (USD/kWh),0.0010102634864076377,0.0010102265528188084,0.0010102786645071191,0.001010275737822304,0.0010102726673658676,0.0010103622799014752,0.0,0.001010282326639811
Membrane cost (USD/m2),0.0010103176354400072,0.0010103566707599142,0.0010103778744824387,0.0010102742429417915,0.0010103343257319658,0.0010103532988069964,0.001010282326639811,0.0
