Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2),Y
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.27082795
0.8062289599329233,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.1758788
0.431029474362731,0.11465848237276077,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.27082056
0.431029474362731,0.8143679723143578,0.5282927993685007,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.32097238
0.431029474362731,0.8143679723143578,0.806412766687572,0.6730628991499543,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.603962441906333,0.2707635
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.3810601634904742,0.8398779975250363,0.6977758491411805,0.603962441906333,0.27082795
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.5940352017059922,0.6977758491411805,0.603962441906333,0.27082837
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.4230410596355796,0.603962441906333,0.25918293
0.431029474362731,0.8143679723143578,0.806412766687572,0.053456684574484825,0.29793923161923885,0.8398779975250363,0.6977758491411805,0.362950730137527,0.27082786
0.8062289599329233,0.11465848237276077,0.5282927993685007,0.6730628991499543,0.3810601634904742,0.5940352017059922,0.4230410596355796,0.362950730137527,0.21430667
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.31729305
0.2973193386569619,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.42649788
0.5750568713992834,0.6342582115903497,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.31729728
0.5750568713992834,0.41154405754059553,0.12353839818388224,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.38761747
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.49670358933508396,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.31733024
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.563084208406508,0.05550600867718458,0.18233556486666203,0.35684311017394066,0.31729054
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.26917659025639296,0.18233556486666203,0.35684311017394066,0.31729302
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.9470405746251345,0.35684311017394066,0.3497011
0.5750568713992834,0.41154405754059553,0.3052741810679436,0.7620222959667444,0.8931864649057388,0.05550600867718458,0.18233556486666203,0.6486160727217793,0.31729317
0.2973193386569619,0.6342582115903497,0.12353839818388224,0.49670358933508396,0.563084208406508,0.26917659025639296,0.9470405746251345,0.6486160727217793,0.52926934
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.22201017
0.05954157840460539,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.61686665
0.8459417913109064,0.751314147375524,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.22201128
0.8459417913109064,0.6267595672979951,0.4275001725181937,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.25804147
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.17263545747846365,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.22201675
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.03795269876718521,0.34197695553302765,0.9895772682502866,0.15196625422686338,0.22201015
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.8287346679717302,0.9895772682502866,0.15196625422686338,0.22200756
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.5642716344445944,0.15196625422686338,0.20411977
0.8459417913109064,0.6267595672979951,0.5718719745054841,0.2897972408682108,0.5388476829975843,0.34197695553302765,0.9895772682502866,0.1335778133943677,0.22201017
0.05954157840460539,0.751314147375524,0.4275001725181937,0.17263545747846365,0.03795269876718521,0.8287346679717302,0.5642716344445944,0.1335778133943677,0.6350127
0.14817404188215733,0.09893466718494892,0.07106497325003147,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.6437242
0.5518497377634048,0.09893466718494892,0.07106497325003147,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.42541608
0.14817404188215733,0.4973584767431021,0.07106497325003147,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.643728
0.14817404188215733,0.09893466718494892,0.9606725387275219,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.41876528
0.14817404188215733,0.09893466718494892,0.07106497325003147,0.9974971152842045,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.6437069
0.14817404188215733,0.09893466718494892,0.07106497325003147,0.5177700575441122,0.9691794756799936,0.5575613733381033,0.38025025092065334,0.9028336415067315,0.64372516
0.14817404188215733,0.09893466718494892,0.07106497325003147,0.5177700575441122,0.12920447438955307,0.03463015705347061,0.38025025092065334,0.9028336415067315,0.64372647
0.14817404188215733,0.09893466718494892,0.07106497325003147,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.05580427777022123,0.9028336415067315,0.62980676
0.14817404188215733,0.09893466718494892,0.07106497325003147,0.5177700575441122,0.12920447438955307,0.5575613733381033,0.38025025092065334,0.8469812227413058,0.6437242
0.5518497377634048,0.4973584767431021,0.9606725387275219,0.9974971152842045,0.9691794756799936,0.03463015705347061,0.05580427777022123,0.8469812227413058,0.18652935
0.04867560416460037,0.5190841490402818,0.4028812162578106,0.7388937445357442,0.08338399510830641,0.9683915292844176,0.8184885680675507,0.11761310417205095,0.67099977
0.2102544754743576,0.5190841490402818,0.4028812162578106,0.7388937445357442,0.08338399510830641,0.9683915292844176,0.8184885680675507,0.11761310417205095,0.481392
0.04867560416460037,0.5371904894709587,0.4028812162578106,0.7388937445357442,0.08338399510830641,0.9683915292844176,0.8184885680675507,0.11761310417205095,0.6710001
0.04867560416460037,0.5190841490402818,0.2973074382171035,0.7388937445357442,0.08338399510830641,0.9683915292844176,0.8184885680675507,0.11761310417205095,0.70496213
0.04867560416460037,0.5190841490402818,0.4028812162578106,0.7644005045294762,0.08338399510830641,0.9683915292844176,0.8184885680675507,0.11761310417205095,0.67099845
0.04867560416460037,0.5190841490402818,0.4028812162578106,0.7388937445357442,0.24953424837440252,0.9683915292844176,0.8184885680675507,0.11761310417205095,0.67099977
0.04867560416460037,0.5190841490402818,0.4028812162578106,0.7388937445357442,0.08338399510830641,0.3857202446088195,0.8184885680675507,0.11761310417205095,0.67100114
0.04867560416460037,0.5190841490402818,0.4028812162578106,0.7388937445357442,0.08338399510830641,0.9683915292844176,0.20668493025004864,0.11761310417205095,0.64502436
0.04867560416460037,0.5190841490402818,0.4028812162578106,0.7388937445357442,0.08338399510830641,0.9683915292844176,0.8184885680675507,0.988628389313817,0.671002
0.2102544754743576,0.5371904894709587,0.2973074382171035,0.7644005045294762,0.24953424837440252,0.3857202446088195,0.20668493025004864,0.988628389313817,0.48938152
0.9417590424418449,0.24124396033585072,0.904119192622602,0.451485694386065,0.7411312954500318,0.183091820217669,0.30280378740280867,0.8744620000943542,0.12745647
0.7174553526565433,0.24124396033585072,0.904119192622602,0.451485694386065,0.7411312954500318,0.183091820217669,0.30280378740280867,0.8744620000943542,0.16365248
0.9417590424418449,0.2129162410274148,0.904119192622602,0.451485694386065,0.7411312954500318,0.183091820217669,0.30280378740280867,0.8744620000943542,0.12745635
0.9417590424418449,0.24124396033585072,0.8301135934889317,0.451485694386065,0.7411312954500318,0.183091820217669,0.30280378740280867,0.8744620000943542,0.13593401
0.9417590424418449,0.24124396033585072,0.904119192622602,0.06552020739763975,0.7411312954500318,0.183091820217669,0.30280378740280867,0.8744620000943542,0.12748347
0.9417590424418449,0.24124396033585072,0.904119192622602,0.451485694386065,0.8058180930092931,0.183091820217669,0.30280378740280867,0.8744620000943542,0.1274567
0.9417590424418449,0.24124396033585072,0.904119192622602,0.451485694386065,0.7411312954500318,0.7432402940467,0.30280378740280867,0.8744620000943542,0.127453
0.9417590424418449,0.24124396033585072,0.904119192622602,0.451485694386065,0.7411312954500318,0.183091820217669,0.6673034904524684,0.8744620000943542,0.14294682
0.9417590424418449,0.24124396033585072,0.904119192622602,0.451485694386065,0.7411312954500318,0.183091820217669,0.30280378740280867,0.031114887446165085,0.12745428
0.7174553526565433,0.2129162410274148,0.8301135934889317,0.06552020739763975,0.8058180930092931,0.7432402940467,0.6673034904524684,0.031114887446165085,0.1876418
0.7292227484285831,0.9567189887166023,0.23126385919749737,0.9793598214164376,0.8161155236884952,0.46633064933121204,0.6191086880862713,0.6343068182468414,0.32772693
0.9552023569121957,0.9567189887166023,0.23126385919749737,0.9793598214164376,0.8161155236884952,0.46633064933121204,0.6191086880862713,0.6343068182468414,0.29206902
0.7292227484285831,0.3302162578329444,0.23126385919749737,0.9793598214164376,0.8161155236884952,0.46633064933121204,0.6191086880862713,0.6343068182468414,0.32772195
0.7292227484285831,0.9567189887166023,0.6497003901749849,0.9793598214164376,0.8161155236884952,0.46633064933121204,0.6191086880862713,0.6343068182468414,0.21093628
0.7292227484285831,0.9567189887166023,0.23126385919749737,0.26495072804391384,0.8161155236884952,0.46633064933121204,0.6191086880862713,0.6343068182468414,0.32778826
0.7292227484285831,0.9567189887166023,0.23126385919749737,0.9793598214164376,0.34318673238158226,0.46633064933121204,0.6191086880862713,0.6343068182468414,0.3277265
0.7292227484285831,0.9567189887166023,0.23126385919749737,0.9793598214164376,0.8161155236884952,0.1818206124007702,0.6191086880862713,0.6343068182468414,0.32772875
0.7292227484285831,0.9567189887166023,0.23126385919749737,0.9793598214164376,0.8161155236884952,0.46633064933121204,0.7844427591189742,0.6343068182468414,0.33469984
0.7292227484285831,0.9567189887166023,0.23126385919749737,0.9793598214164376,0.8161155236884952,0.46633064933121204,0.6191086880862713,0.5148726142942905,0.3277269
0.9552023569121957,0.3302162578329444,0.6497003901749849,0.26495072804391384,0.34318673238158226,0.1818206124007702,0.7844427591189742,0.5148726142942905,0.18230903
0.2805066294968128,0.3038798449561,0.7319865496829152,0.20330629963427782,0.46897238213568926,0.6810136325657368,0.009537889622151852,0.38926262594759464,0.32515153
0.4646034184843302,0.3038798449561,0.7319865496829152,0.20330629963427782,0.46897238213568926,0.6810136325657368,0.009537889622151852,0.38926262594759464,0.2397679
0.2805066294968128,0.9201345648616552,0.7319865496829152,0.20330629963427782,0.46897238213568926,0.6810136325657368,0.009537889622151852,0.38926262594759464,0.32515746
0.2805066294968128,0.3038798449561,0.24531219992786646,0.20330629963427782,0.46897238213568926,0.6810136325657368,0.009537889622151852,0.38926262594759464,0.45063794
0.2805066294968128,0.3038798449561,0.7319865496829152,0.565336306579411,0.46897238213568926,0.6810136325657368,0.009537889622151852,0.38926262594759464,0.32509762
0.2805066294968128,0.3038798449561,0.7319865496829152,0.20330629963427782,0.65015341155231,0.6810136325657368,0.009537889622151852,0.38926262594759464,0.32515156
0.2805066294968128,0.3038798449561,0.7319865496829152,0.20330629963427782,0.46897238213568926,0.9470478650182486,0.009537889622151852,0.38926262594759464,0.32515225
0.2805066294968128,0.3038798449561,0.7319865496829152,0.20330629963427782,0.46897238213568926,0.6810136325657368,0.3395399395376444,0.38926262594759464,0.33932886
0.2805066294968128,0.3038798449561,0.7319865496829152,0.20330629963427782,0.46897238213568926,0.6810136325657368,0.009537889622151852,0.4733784291893244,0.3251516
0.4646034184843302,0.9201345648616552,0.24531219992786646,0.565336306579411,0.65015341155231,0.9470478650182486,0.3395399395376444,0.4733784291893244,0.37938443
0.3380805691704154,0.6953600943088531,0.12509883660823107,0.3969608098268509,0.9632053319364786,0.6108305780217052,0.8034370429813862,0.006764323450624943,0.500548
0.17116177640855312,0.6953600943088531,0.12509883660823107,0.3969608098268509,0.9632053319364786,0.6108305780217052,0.8034370429813862,0.006764323450624943,0.61543375
0.3380805691704154,0.4349167561158538,0.12509883660823107,0.3969608098268509,0.9632053319364786,0.6108305780217052,0.8034370429813862,0.006764323450624943,0.5005435
0.3380805691704154,0.6953600943088531,0.18113533314317465,0.3969608098268509,0.9632053319364786,0.6108305780217052,0.8034370429813862,0.006764323450624943,0.47730333
