Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper,S2_sum
Current density (A/cm2),0.6973765172709646,0.5360224374562607,0.8366490122177319,0.3022057525891876,0.13909525778930312,0.4434645122292426,0.007072031990524367
Voltage (V),-0.001387328924445296,-0.03277392755158894,0.030866102654890766,1.0013881153366233,0.9691337410640728,1.0327763968979955,0.007071895178015333
Faradaic efficiency,0.2929942117258536,0.19893033081182496,0.37926374512556454,0.708720242293403,0.59926706746926,0.8095905578916037,0.0070722681447269835
CO conversion,-0.001381132992621759,-0.03280908003531119,0.03088457173321874,1.0013803075163406,0.9691249091238141,1.0327389863873562,0.007071945363141864
Crossover rate,-0.001387703756957784,-0.032776350933793996,0.03086619642351263,1.0013877437915957,0.9691338348326947,1.0327751622247923,0.00707204633266313
Capture energy (MJ/kgCO2),-0.0013879796841304698,-0.03277639689799539,0.030864959081816527,1.0013877506121234,0.9691325974909986,1.0327775089999949,0.007072233187015775
Electricity price (USD/kWh),0.0075535937506754644,-0.02388896229973906,0.04287050431678986,0.9925612013146855,0.9532107157272358,1.029852897379022,0.007071961715463023
Membrane cost (USD/m2),-0.001387560272148427,-0.03277577190069354,0.030867355624690517,1.001387656440098,0.9691326131191021,1.0327757565792932,0.007072296374802925
