Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
0.3461717179926882,0.0,-0.07475110993129283,0.0,0.0,0.0,0.006949824424430928,0.0
-0.09630584033684245,0.0,-0.07473807843375697,-3.912776527051354e-05,0.0,0.0,0.006962856620458721,0.0
0.3461843006663757,0.0,-0.07473855544602329,-3.959896336752644e-05,0.0,0.0,0.006962378880208594,0.0
0.34617169374285933,0.0,-0.08858364428513667,0.0,0.0,0.0,0.006949813905789137,0.0
0.34618473638612735,0.0,-0.07473807609768965,3.8337159854795466e-05,0.0,0.0,0.006962861471097024,0.0
0.3461716902251023,0.0,-0.07475112623973047,0.0,0.0,0.0,0.0069498088958096504,0.0
0.34617147957410904,0.0,-0.07475134834987195,0.0,0.0,0.0,0.006949586005851882,0.0
0.34617171801682123,0.0,-0.07475111002124679,0.0,0.0,0.0,0.012874049343767457,0.0
0.3461719341821865,0.0,-0.07475088981471759,0.0,0.0,0.0,0.006950043769449854,0.0
-0.09629373782107399,0.0,-0.08855848734176514,0.0,0.0,0.0,0.012899180261237098,0.0
-0.04416989595374273,0.0,0.03659500508319718,0.0,0.0,0.0,-0.014328065267819462,0.0
0.08553305097629729,0.0,0.03658550926529898,2.8474212615814398e-05,0.0,0.0,-0.014337557969667559,0.0
-0.04417007785630487,0.0,0.03659482253258973,0.0,0.0,0.0,-0.014328237256452853,0.0
-0.04416990791386481,0.0,-0.0015967135738381918,0.0,0.0,0.0,-0.01432807039513833,0.0
-0.044179393213832706,0.0,0.036585507286432596,-3.549634957120129e-05,0.0,0.0,-0.014337559447560084,0.0
-0.044169061685199046,0.0,0.036595839863580205,0.0,0.0,0.0,-0.014327230921665608,0.0
-0.04416916270052926,0.0,0.036595738881234324,0.0,0.0,0.0,-0.014327326947213392,0.0
-0.044169896272462005,0.0,0.03659500506017281,0.0,0.0,0.0,-0.008299233920979386,0.0
-0.04417051371323714,0.0,0.03659438765742668,0.0,0.0,0.0,-0.014328677826542596,0.0
0.0855336308930973,0.0,-0.0016056075174544929,-3.489782358795379e-05,0.0,0.0,-0.008308125404943188,0.0
-0.10201270764396116,0.0,-0.032333601525881224,0.0,0.0,0.0,0.01746737489541475,0.0
-0.03436816128475283,0.0,-0.03233360743460558,0.0,0.0,0.0,0.017467370940139504,0.0
-0.10201030373236998,0.0,-0.03233119737641472,0.0,0.0,0.0,0.01746977899637489,0.0
-0.10201270593821803,0.0,0.08244145904758224,0.0,0.0,0.0,0.01746737422356899,0.0
-0.1020063454768388,0.0,-0.03232723801532605,-2.6931128813911798e-05,0.0,0.0,0.017473742335763157,0.0
-0.10201271426533207,0.0,-0.03233360553993696,0.0,0.0,0.0,0.01746737062968018,0.0
-0.10201273295346519,0.0,-0.032333626233518035,0.0,0.0,0.0,0.017467350406749627,0.0
-0.10200633831219641,0.0,-0.03232723176532,-1.9109054840038553e-05,0.0,0.0,-0.019049120437481373,0.0
-0.10201271454945936,0.0,-0.032333606960665846,0.0,0.0,0.0,0.01746737233453638,0.0
-0.03436000773424033,0.0,0.08244961074191712,-2.51497519673273e-05,0.0,0.0,-0.019047340176392587,0.0
0.06475288427240831,0.0,0.1352908465650398,3.857912030075239e-05,0.0,0.0,-0.0036391173667895595,0.0
-0.13412280072037705,0.0,0.13530373177407054,0.0,0.0,0.0,-0.003626248928356113,0.0
0.06475157297022326,0.0,0.1352895352628548,3.726781811566604e-05,0.0,0.0,-0.0036404286689746476,0.0
0.06476576683111487,0.0,-0.0563381634089941,0.0,0.0,0.0,-0.0036262481896361803,0.0
0.06475449790479611,0.0,0.1352924630216634,0.0,0.0,0.0,-0.0036375045644430615,0.0
0.06475227291119239,0.0,0.13529023756860714,3.79671777842594e-05,0.0,0.0,-0.0036397288570602774,0.0
0.06475282562814834,0.0,0.13529078724091448,3.852303873003171e-05,0.0,0.0,-0.0036391817354126076,0.0
0.06475288434353252,0.0,0.1352908466858346,3.857908859139503e-05,0.0,0.0,0.0023372017860501144,0.0
0.06475281012785018,0.0,0.13529077242048168,3.850426754939407e-05,0.0,0.0,-0.003639192248145811,0.0
-0.13413681801026028,0.0,-0.05635217696899502,0.0,0.0,0.0,0.0023360632787946534,0.0
0.0004288457460573812,0.0,-0.0016070271517743657,3.931827245870663e-05,0.0,0.0,0.012230385935857008,0.0
0.014223417109114074,0.0,-0.0016070273667546369,3.931870474757626e-05,0.0,0.0,0.012230385516761859,0.0
0.0004304266698142943,0.0,-0.0016054481383928568,4.0897276914971664e-05,0.0,0.0,0.012231965086608513,0.0
0.00042884738392393035,0.0,0.13528877810162074,3.9316457058791165e-05,0.0,0.0,0.012230386457300579,0.0
0.0004288508885102117,0.0,-0.0016070230512386624,2.533028546689367e-05,0.0,0.0,0.012230387390660458,0.0
0.00042879259843003046,0.0,-0.0016070809982816768,3.926634486386277e-05,0.0,0.0,0.0122303362413298,0.0
0.00042899503545844943,0.0,-0.0016068770917038512,3.946729837307934e-05,0.0,0.0,0.012230533606918805,0.0
0.0004288458157125527,0.0,-0.0016070273708291495,3.931830486092903e-05,0.0,0.0,0.007623006616361477,0.0
0.0004288128443433662,0.0,-0.0016070566075948396,3.928971691669059e-05,0.0,0.0,0.012230357639643962,0.0
0.014225083993459477,0.0,0.13529044787432745,2.6986375783688565e-05,0.0,0.0,0.007624670509803262,0.0
