,S1,SHAP,KAN
S1,0.9999999999999999,0.9999999999999999,0.9999999999999999
SHAP,0.9999999999999999,0.9999999999999999,0.9999999999999999
KAN,0.9999999999999999,0.9999999999999999,0.9999999999999999
