QAgNO3(%),Qpva(%),Qtsc(%),Qseed(%),Qtot(uL/min)
-0.0993820109211953,-0.007958118718533904,-0.018957180413382176,-0.11705835437572662,-0.000148312031815645
-0.08253559042211131,0.004743870253899468,-0.01900275728590386,-0.1170500811010404,0.005353184900593782
-0.0993820109211953,-0.007958118718533904,-0.018957180413382176,-0.11705835437572662,-0.000148312031815645
-0.09141762664312654,-0.008609704848531434,-0.018525630767048773,-0.0908593591726605,-0.006367031349171631
-0.07694535376782019,-0.001423028682782046,0.09662748830346797,0.1682884154239266,0.014859803398570853
0.016139674309940726,-0.005997115049886082,-0.018877694876011927,-0.050955551484723124,0.004531785293652266
-0.08240279334177569,-0.0093731328223201,-0.01862744724789719,0.17081509250082896,-0.006553427578450795
0.18671884627416396,0.010273513875498358,-0.018832579074209817,0.04009983029082739,-0.006410327786650322
0.30708854317544515,0.0009531414691219542,0.05247031741209809,0.13000146849368277,-0.00401599742604065
-0.08253559042211131,0.004743870253899468,-0.01900275728590386,-0.1170500811010404,0.005353184900593782
-0.09520348645388696,-0.006863061734746017,-0.018957179963407806,-0.11705835505068815,-0.00014831270677723163
0.03684990303680401,-0.006912419896763188,-0.018877773990098073,-0.05088767320686477,-0.0066284807989647684
-0.08471137434583338,-0.006019035520264671,-0.018605050872719242,-0.08485311872853922,-0.006351057737010493
0.053686070593321804,-0.0072893437734895365,-0.018477747598771375,-0.051144259762194215,-0.0023791349911755875
0.03173509988185733,0.0042503578250132484,-0.018811108900039158,-0.050865191275128604,-0.006740347661179701
-0.011963223495987446,-0.0039865397715815876,-0.018976583887696245,-0.09078094276835591,-0.00630041683412109
0.21864240187124662,0.014495200101148636,-0.01876289613609015,-0.017694192675173647,-0.000698284043934766
0.01616280091211364,-0.00825231638960787,-0.018877694876011885,-0.05094994864811433,-0.00692255850212402
-0.09790500581761957,-0.009541455941575247,0.012864865678455406,-0.1104254417588721,0.015389355743887048
-0.07694535376782019,-0.001423028682782046,0.09662748830346797,0.1682884154239266,0.014859803398570853
-0.07694535376782019,-0.001423028682782046,0.09662748830346797,0.1682884154239266,0.014859803398570853
-0.08471137434583338,-0.006019035520264671,-0.018605050872719242,-0.08485311872853922,-0.006351057737010493
-0.08252867658405398,0.00409834876347506,-0.0190027538029365,-0.11705836613837309,-0.00014832381518969928
-0.09303958622129149,0.01671094225515121,0.09638052537856416,0.17080513868908673,0.006321951073486404
-0.08484060966876587,-0.009403760218309742,-0.01872260011638364,-0.08850188812125073,-0.006390885109167549
0.13490312093615422,-0.004140787554709912,-0.0005275700145226936,0.21382276413036114,0.01235769598560608
-0.09303958589643559,0.007843800669194025,0.012864877927255134,-0.11042543012624331,-0.0034756220323181597
-0.09267576094537781,-0.006741933160182155,-0.018602877847009824,-0.09594804692521634,-0.006377284157574548
0.016146111327798696,-0.00825565453349302,-0.014108131494284555,-0.050876038411107445,-0.006901160051380055
0.3399666749283891,-0.006130175507680746,0.022788851015499764,0.06414248451371962,0.009914358690584383
0.016170692892314528,-0.0078033500380689114,-0.018819496585042148,-0.05088763838849647,-0.006589285621573042
-0.0776968509750229,-0.009360460633648504,-0.018890625347708877,0.1708595924053038,-0.006509165425507335
0.016170692892314528,-0.0078033500380689114,-0.018819496585042148,-0.05088763838849647,-0.006589285621573042
0.2158362152389372,0.01687676329947676,0.06651275377375777,0.11034969718515361,0.016772433584409996
0.09595409613602025,-0.007616704683157309,-0.018877707101446112,-0.07983133113355606,-0.006539192891099858
0.026170158217395906,-0.0007910311320060703,-0.014291856776721354,-0.1180714181534377,0.00232740324904479
0.016154003591777502,-0.004583983964460589,0.035220696972697266,-0.050947243033272,0.001959212532113461
0.2495080724309568,0.007912240739295556,-0.01875888325262687,-0.09323061111415651,-0.0065228384770132306
0.01616277789746992,-0.008252324953441656,-0.007520809748526112,-0.050865321512558716,-0.006663408998699617
-0.09790500581761963,-0.009541455941575183,0.09638050975194178,-0.11042544175887212,0.015389355743887048
0.10968989283487107,0.0003224355301955084,-0.014650204076752486,0.17266661530425587,0.007931597930693618
-0.0993820109211953,-0.007958118718533904,-0.018957180413382176,-0.11705835437572662,-0.000148312031815645
-0.09866031547221628,-0.006863061219951241,-0.019002757152494453,-0.11705836646549019,-0.00014832413100074326
-0.05743007889120169,-0.001801399857966457,-0.018970771286152318,-0.08056997662324401,-0.0069113891415361565
-0.0728371856252714,0.00928432730318129,-0.01893173656946913,0.1708039349575326,-0.00656410784742778
-0.08849818881866792,-0.00647514241290133,-0.01879782455779708,-0.008819120691605837,-0.006384805555242998
-0.09016234440126986,-0.007062514319631417,-0.018776070275690157,-0.10910684471788838,-0.006372515383502891
0.06548396302674478,0.014419609213650214,-0.011701188335966884,0.18613669359825694,0.004056248042429156
-0.0993820109211953,-0.007958118718533904,-0.018957180413382176,-0.11705835437572662,-0.000148312031815645
0.13490312093615422,-0.004140787554709912,-0.0005275700145226936,0.21382276413036114,0.01235769598560608
-0.09303958622129149,0.01671094225515121,0.09638052537856416,0.17080513868908673,0.006321951073486404
0.06656522795701185,-0.008247762269514293,-0.017121479464680674,-0.10725306874356856,-0.0030325572585359895
-0.08584935876739165,-0.008237771360890423,-0.01873881623910185,-0.07693208965746572,-0.006391599882520305
-0.08252867658405398,0.00409834876347506,-0.0190027538029365,-0.11705836613837309,-0.00014832381518969928
-0.09303959816747025,0.0029423792018816175,0.07666907501291555,-0.11042544159832843,0.015389355851669902
-0.09520348645388696,-0.006863061734746017,-0.018957179963407806,-0.11705835505068815,-0.00014831270677723163
-0.09901435515293577,-0.006743363208492219,0.09808867211082885,-0.057967561423462016,0.014600737960081106
-0.09303958589643559,0.007843800669194025,0.012864877927255134,-0.11042543012624331,-0.0034756220323181597
-0.022691788475773914,-0.008609594699781073,-0.018981348823795523,-0.0750728424044951,-0.006435827098006747
-0.08584721237910962,-0.009439638797071194,-0.01855189545201613,-0.0892827094283349,-0.006372527327797334
-0.09303961009857449,-0.003184274980891632,-0.01900276939677177,-0.11705837761309634,-0.00014833527860702578
-0.089473771447477,-0.00773372942139898,-0.018893326068608964,0.1707963886002308,-0.006452504527360681
0.27070514859879447,-0.0028559658154430068,0.008506270398168569,0.06304189647440968,0.0090153542194152
-0.08253559042211131,0.004743870253899468,-0.01900275728590386,-0.1170500811010404,0.005353184900593782
0.24428218613724012,0.01547129771469147,-0.006974158424754048,-0.03096551253230932,-0.0032223499214703577
0.08591238368881074,0.008443288353578455,0.009539285503406991,-0.011115938026343058,0.014600726325191086
0.1275655629323418,0.013764697487419462,-0.018648920193518086,-0.05101955492854064,-0.002051714707880098
-0.09303957398681253,0.007843812548668032,0.01286488984818409,-0.11042541821662019,0.006919261187571246
-0.0995715377197521,-0.009506872482126685,-0.01876746553496157,-0.1081869295791176,-0.006445494417400777
-0.09790500598155502,0.002942379139322368,0.0766690749503563,-0.11042544160058963,0.015389355849408776
-0.08986790375911233,-0.008668000444762326,-0.01867408203276708,-0.09796442343397885,-0.00638480551378795
-0.09790500650124906,-0.009541455811180686,0.09844640691547493,0.1708051272328297,-0.0038895875230604837
-0.07748277585465449,-0.0034496114528504984,-0.018878490402050842,0.17079162020452962,-0.006575707114807118
0.04435914515936448,-0.005675615608074026,-0.018081795467562323,-0.0864592369346228,0.001981183326886543
0.04248824102684407,-0.0007857859232657943,-0.019002769481189112,-0.11705009256521144,0.005353173436422785
0.06233140122622145,0.016475525640844334,-0.01737117022652785,0.09092081183653385,0.0036536533654972225
0.016153968900411986,-0.005281140130308989,-0.017031314207045952,-0.05087085371638227,-0.0067200820819560934
-0.08849818881866792,-0.00647514241290133,-0.01879782455779708,-0.008819120691605837,-0.006384805555242998
0.19720834548621405,0.016777831659316348,0.03676885595723234,0.21456080082658877,0.014327701092233636
-0.09303957431468325,0.016710954016667074,0.012864893221107544,-0.11042541817516528,0.006919261217720324
-0.08484060966876587,-0.009403760218309742,-0.01872260011638364,-0.08850188812125073,-0.006390885109167549
0.026170158217395906,-0.0007910311320060703,-0.014291856776721354,-0.1180714181534377,0.00232740324904479
