Feature,Global_Attribution_Score
Current density (A/cm2),0.8248996
Faradaic efficiency,0.5498098
Electricity price (USD/kWh),0.10856278
Voltage (V),0.010588014
CO conversion,0.0010880379
Crossover rate,0.00035196834
Membrane cost (USD/m2),8.113871e-05
Capture energy (MJ/kgCO2),4.9783786e-05
