Feature,Global_Attribution_Score
CO conversion,0.7147739
Crossover rate,0.7051546
Faradaic efficiency,3.7915608e-05
Membrane cost (USD/m2),2.0293357e-05
Voltage (V),1.720662e-05
Capture energy (MJ/kgCO2),1.1307275e-05
Current density (A/cm2),6.904131e-06
Electricity price (USD/kWh),0.0
