Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
0.0,-0.00020478013179095478,-0.001244711114646358,0.23805551441736467,0.0,0.0010046620837740746,0.0,0.0,0.0,-0.004158211334215742,-0.0024712349713411743,-0.012211743353341877,0.0,0.009727800823911566,0.014388137021828116,0.0
0.0,-0.00018725853589782686,-0.0012219375827542045,-0.07976288943853563,0.0,-6.70536158895868e-05,-0.0001841973280757977,0.0,0.0,0.024261156480470496,-0.0024493424587130027,-0.0003014368754384091,0.0,-0.0005290663652692235,-0.0008559186210394111,0.0
0.0,0.005017432778705852,-0.001239261650642831,-0.07976881703691585,0.0,-6.379330941323758e-05,-0.00018801608143176863,0.0,0.0,-0.004123057741393504,-0.002454390092749795,-0.000293102278545962,0.0,-0.0005349644120998389,-0.0008485591528427987,0.0
0.0,-0.00016709424435212838,-0.0012068746311053452,-0.09547037473341993,0.0,0.0,-0.00020998135412447612,0.0,0.0,-0.003683102737030588,-0.002405732521633961,-0.0003046413697261966,-0.011351306044945862,-0.0005032258935997205,-0.0008191473711289839,0.0
0.0,-0.0001912024314187443,-0.0012322367060043572,-0.07976465028084999,0.0,-6.323211502365367e-05,-0.00018593745818920083,0.0,0.0,0.011138705672355526,-0.0024476232932043565,-0.00029868609444298907,0.0,-0.0005342218969402357,-0.0008529746372496701,0.0
0.0,-0.00019895674759040638,-0.0012336619627156572,0.4548780553182848,0.0,0.0,-0.0001907778296498901,0.0,0.0,-0.004130317820168661,-0.00245858051556006,-0.0002970056374424371,0.0,-0.0005400122213317564,-0.000856212222761674,0.0
0.0,-0.00019983941826689814,-0.001246345193141729,-0.07980083054871374,0.0,-5.805173141273934e-05,-0.0001906206866800535,0.0,0.0,-0.004104669681904423,-0.002443826318101304,-0.0003146776885370942,0.0,-0.0005365624042853393,-0.0008514512495406922,0.0
0.0,-0.00019796878249261907,-0.0012355409614482717,0.19609663383365883,0.0,0.0,-0.00019155356576490632,0.0,0.0,-0.004125259091503745,-0.002453883849100112,-0.0003034560103353478,0.0,-0.0005466007735833197,-0.0008550091771610492,0.0
0.0,-0.00018882180205256614,-0.0012221603486180835,0.46264555936321666,0.0,0.0,-0.00018174482596677866,0.0,0.0,-0.004103045194062551,-0.0024427624318607037,-0.0002907911887150355,0.0,-0.0001818827378284198,0.024291324498975853,0.0
0.0,-0.0001657325356523967,-0.0011721933144886877,-0.14232143541793318,0.0,-3.634963587617612e-05,-0.00018666851797528928,0.0,0.0,-0.0036227571080931107,-0.0023811069194832686,-0.00028804655679902185,0.0,-0.0004893340232883673,-0.0008086786927068077,0.0
0.0,-0.00019310638768370753,-0.0012282258879917833,-0.0797666652489956,0.0,-6.121815524950946e-05,-0.0001853692884690919,0.0,0.0,0.020980922499212802,-0.002447047615036475,-0.0002976595054188571,0.0,-0.0005311933234105139,-0.0008519101530561792,0.0
0.0,-0.00020311466877333015,-0.0012490735350210614,-0.07398806837521513,0.0,0.0,-0.00018596995322525678,0.0,0.0,-0.004134247747418338,-0.002454455987776836,0.017261521716335337,0.0,-0.0005441746972649134,-0.000862338679775247,0.0
0.0,-0.00019583201924831128,-0.0012226989366716063,0.119682260226466,0.0,0.0009097408945450457,-0.00018702608153244038,0.0,0.0,-0.004121753012498206,-0.002447344652783666,-0.00029035196997665385,0.0,-0.0005368976237589414,-0.0008541390192081417,0.0
0.0,0.0,-0.0012516456027362604,-0.07899628577751408,0.0,0.0,-0.00020340769781011098,0.0,0.0,0.020725940153050865,0.006084289250704896,-0.0003152937339398879,0.00039574362262559165,-0.0005575789567694041,0.00102779068754872,0.0
0.0,-0.00020506633134735608,-0.001241550551894516,-0.0797781479798195,0.0,0.0,-0.00019054072547849138,0.0,0.0,0.004581543393827865,-0.0024612701138621495,-0.00030830551729988526,0.0,-0.0005392871192500345,-0.0008564917457561579,0.0
0.0,-0.00019752491199159027,-0.0012470737886171358,-0.0797689260817461,0.0,-6.25771973923328e-05,-0.00018473767948421778,0.0,0.0,-0.004119663376897189,-0.002456167592993892,0.011578254292366193,0.0,-0.0005362736386983883,-0.0008555979728547275,0.0
0.0,-0.00019977518751895795,-0.001230035284575529,0.3858739421663351,0.0,0.0,-0.00019383364834435458,0.0,0.0,-0.004128538010413721,-0.0024553221873891006,-0.0003028994505559393,0.0,-0.0005422740043994035,-0.0008539716340899996,0.0
0.0,-0.00021691531256495957,-0.0012664511362867577,-0.07978869357266404,0.0,0.0,-0.00020269961713870188,0.0,0.0,-0.004136179969584928,-0.002467668640770151,-0.0003220533436656694,0.00210595935483539,-0.0005540298984471857,-0.0008706066954953882,0.0
0.0,-0.00019006379384670435,-0.0012304088653914468,-0.07976635342982064,0.0,-6.430616076307655e-05,-0.0001860575218698482,0.0,0.0,0.02426716106591955,-0.002454746623142683,-0.0002947172501483907,0.0,-0.000529060228840341,-0.0008493915332390365,0.0
0.0,-0.00019720735238839009,-0.0012474446873766858,-0.07980277712542592,0.0,-5.9819294488019925e-05,-0.00019074673726409447,0.0,0.0,-0.004100241351087207,-0.0024463045406301546,-0.00031648889217251015,0.0,-0.0005361462326629229,-0.0008496987070881474,0.0
0.0,-0.00019195104034276094,-0.0012245805060277263,0.10982981166020578,0.0,-6.500433564211872e-05,-0.00018146845967283507,0.0,0.0,-0.004121928533182493,-0.00245201239165383,-0.0002952392537552882,0.0,-0.0005313130290656581,-0.0008510272223466619,0.0
0.0,-0.0001935072804639975,-0.0012404951258320517,-0.06267531639392876,0.0,-5.8367866915085e-05,-0.00018492626654074892,0.0,0.0,-0.004120739183650018,-0.0024546157959106974,-0.00029495351700189955,0.0,-0.0005347118023360686,-0.0008557016151789641,0.0
0.0,-0.00019266566666690198,0.02503061133060825,-0.07976987411496714,0.0,-6.849197039469901e-05,-0.00017858059646595493,0.0,0.0,-0.004118218387336569,-0.002450770026770101,-0.00029680243802747625,0.0,-0.000537158118287,-0.0008491575136725056,0.0
0.0,-0.0002085389509256519,-0.0012306468547778416,0.5343758518693306,0.0,0.0,-0.00019012572412647173,0.0,0.0,-0.004128074527815105,-0.0024630276371064544,-0.0026618966062793843,0.0,0.001851002901774723,-0.0008628815186169166,0.0
0.0,-0.00019467958250724056,-0.0012518712166959744,-0.07977154802789076,0.0,-6.580657628725561e-05,-0.00018687305337514954,0.0,0.0,-0.0041179486642097885,-0.0024506616558896788,0.01829773739841094,0.0,-0.0005352258631200257,-0.0008530329985080426,0.0
0.0,-0.00019505251304241446,-0.0012468228392002298,-0.07977491148646393,0.0,-6.905856658263876e-05,-0.00018486457726219575,0.0,0.0,0.001320578917330463,-0.002452298684008485,-0.00029900873373682604,0.0,-0.0005303082157431132,-0.0008508987171271124,0.0
0.0,-0.0001938760522199523,-0.0012276687226667406,-0.07976906229994714,0.0,-6.429312702253831e-05,-0.00018400529516165643,0.0,0.0,0.011139475130469336,-0.0024464786816832374,-0.00030316289619792414,0.0,-0.000529894424196069,-0.0008530928723417558,0.0
0.0,-0.00020093244698153815,-0.0012471395935595487,-0.07977700839360921,0.0,-6.82339698225426e-05,-0.00018938209696100645,0.0,0.0,-0.0019410357237422962,-0.002452546841684726,-0.00030413459662218835,0.0,-0.000538475873487127,-0.0008472846043225241,0.0
0.0,0.003133516742476302,-0.001246682385179438,0.06434607059226123,-0.0009414323926868442,0.0,0.0,0.0,0.0,0.0002530282629707864,0.024500216161737705,0.02062830678045874,0.0,-0.0005623417979935453,-0.0008830282906180875,0.0
0.0,-0.0001979042267197468,-0.0012410585703742237,-0.07976916680091693,0.0,-6.435738707737115e-05,-0.00018488131672784208,0.0,0.0,0.0013155230184710952,-0.0024530566889199965,-0.00029733147465810364,0.0,-0.0005373253982364425,-0.000853086570676895,0.0
0.0,-0.00019722984211206939,-0.0012493771144114377,-0.07979857754654152,0.0,-6.179372575938757e-05,-0.00019291781210169565,0.0,0.0,-0.00410033546396268,-0.0024475152072279886,-0.0003154531299742238,0.0,-0.0005345344356701278,-0.0008491406428229242,0.0
0.0,-0.00019687929213382487,-0.0012367690817269553,-0.06267275488560624,0.0,-6.989333969781297e-05,-0.0001828580409137896,0.0,0.0,-0.004119098264317179,-0.0024488220867910256,-0.00029517953434159827,0.0,-0.0005384039977379755,-0.0008526763244918805,0.0
0.0,-0.0001826102005721697,-0.0012411752005211337,-0.07969351854453174,0.0,0.0,-0.00019215741847507868,-0.00017998710284207987,0.0,-0.0039769401132057885,-0.0024230949482048265,-0.009663090027671711,0.0,-0.0005237413280054509,-0.0008372851708863717,0.0
0.0,0.0040202407680224326,-0.0012343894207866724,-0.05488971146702156,0.0,0.0,-0.00019057289676747274,0.0,0.0,0.003863277640650791,-0.002462600004767291,-0.00030630865607908,0.0,-0.0005389507621391368,-0.000851337578558694,0.0
0.0,-0.00020181836336072406,-0.001250137719961872,-0.07979986685816302,0.0,-6.262476143321927e-05,-0.00018859711530430008,0.0,0.0,-0.004102428927454804,-0.0024453431170623455,-0.0003100830260608057,0.0,-0.0005353327036428391,-0.0008506423281400911,0.0
0.0,-0.00020201163326502626,-0.0012337627409251299,-0.07977514562871345,0.0,0.0,-0.00018746971003964774,0.0,0.0,0.017695811920263392,-0.0024552753423700527,-0.0003072530471614514,0.0,-0.0005401735925560396,-0.0008597220162877511,0.0
0.0,-0.00021038059672809177,-0.0012585931605510992,-0.07977672293552553,0.0,0.0,-0.00020314602565810191,0.0,0.0,-0.004140712065931142,-0.0024666224126482024,-0.0003156638524755365,0.0060784502974907135,-0.000556785163306798,0.006557699816628799,0.0
0.0,-0.00018362438379144802,-0.0012204985620857549,0.23807227347730175,0.0,0.0010246564639221566,-0.00018303062010516236,0.0,0.0,-0.004129450962711342,-0.002455898431868054,-0.012200142224927917,0.0,0.009750717320126624,0.01441043136568146,0.0
0.0,-0.000207037266656677,-0.0012524148659769645,-0.07977509272707264,0.0,0.0,-0.00019228519769769192,0.0,0.0,-0.004127856593375469,-0.0024558345296314195,0.019021357249401988,0.0,-0.0005395810863706494,-0.0008593307978438817,0.0
0.0,-0.0001897818709938858,-0.0012286163867593896,-0.03250471702211216,0.0,-6.922078269017834e-05,-0.00018040280803844548,0.0,0.0,-0.004117835814582103,-0.002452521819939291,-0.00029691145634314694,0.0,-0.0005307183069609599,-0.0008489351956481343,0.0
0.0,-0.0002017250307349329,-0.001245633432963745,-0.07979923498047473,0.0,-6.059956569988423e-05,-0.00018850044261852156,0.0,0.0,-0.004104555275147283,-0.0024469035461296635,-0.00031432091124239994,0.0,-0.0005364862290302483,-0.0008489155065426477,0.0
0.0,-0.00020155528407821144,-0.0012311475016887243,-0.07977122240700804,0.0,0.0,-0.00019060766413588008,0.0,0.0,0.017691785880637342,-0.002458646241490335,-0.0003069142247054294,0.0,-0.0005403295482102244,-0.0008563648003756567,0.0
0.0,-0.000773919641200083,-0.0012258593863029253,0.22775960609960222,0.0,0.0,-0.00019231193846191985,0.0,0.0,0.008765828977821457,0.02932213470082564,-0.008028790561722003,0.0,-0.0005452949029340939,-0.0008587324644983938,0.0
0.0,-0.00019667351472184673,-0.0012461721449037854,-0.07980296916178824,0.0,-6.83513606175995e-05,-0.00018773887647659875,0.0,0.0,-0.00410444252744665,-0.002444583918009318,-0.00031241166023368425,0.0,-0.0005351456958504037,-0.0008483860605359009,0.0
0.0,-0.00021120041742152956,-0.001253788050283967,-0.07976669152503618,0.0,0.0,0.006552442562863129,0.0,0.0,0.0007321470029921073,-0.0024737391261897435,-0.0003135721568080443,0.008268109464469453,0.009617464746696294,-0.0008736299542482147,0.0
