Feature,Mean_SHAP,Abs_Mean_SHAP,Mean_Abs_SHAP
Pd_C103,-7.986611479240477e-05,7.986611479240477e-05,7.986611479240477e-05
Pd_C301,2.4222521929228457e-05,2.4222521929228457e-05,2.4222521929228457e-05
HX100,-0.00042724467043710006,0.00042724467043710006,0.00042724467043710006
T_E110,0.005364254620247366,0.005364254620247366,0.005364254620247366
L_R100,-1.0063258885426151e-05,1.0063258885426151e-05,1.0063258885426151e-05
D_R100,4.34684227634697e-05,4.34684227634697e-05,4.34684227634697e-05
F_S220,-8.533520440952064e-05,8.533520440952064e-05,8.533520440952064e-05
T_E120,1.3862674434164193e-06,1.3862674434164193e-06,1.3862674434164193e-06
P_V100,0.0,0.0,0.0
Pd_P150,-0.0009763666446686213,0.0009763666446686213,0.0009763666446686213
HX150,-0.0009802667440128102,0.0009802667440128102,0.0009802667440128102
HX220,-0.00022183416265325717,0.00022183416265325717,0.00022183416265325717
T_E220,-0.00012660156435034445,0.00012660156435034445,0.00012660156435034445
Rr_D200,0.0002128012208667895,0.0002128012208667895,0.0002128012208667895
Pc_D200,0.00022891792163197628,0.00022891792163197628,0.00022891792163197628
F_S220.1,0.0,0.0,0.0
