Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper,S2_sum
Pd_C103,-0.003348959213132417,-0.0741672819193084,0.065552644535653,1.0033575248650735,0.9361050122452779,1.0739638769344717,-0.01318469627473306
Pd_C301,-0.00380540711611317,-0.07431710829639443,0.06464861362494705,1.0038342268018314,0.9355859042267787,1.0744790214574644,-0.012869807885420591
HX100,0.0005849755006021801,-0.07039757595541526,0.07036646996388787,0.9990386386082292,0.9277572982272089,1.0711606243525378,-0.013048421915334873
T_E110,0.9865439411195083,0.7569280123378507,1.2247575704065488,0.01861901306948313,-0.20989609920958793,0.26132965717035056,-0.012035601572862886
L_R100,-0.004088342559412959,-0.07444745525055604,0.06386383482415108,1.0040869641807746,0.9363236856928375,1.0746638149528591,-0.013225417304435022
D_R100,-0.0038446360554899575,-0.07430412137400409,0.06409801907826401,1.003848324222865,0.9358720963986356,1.0744367549312572,-0.012984085166031528
F_S220,-0.0029300152523047155,-0.07377349213220868,0.06553125795317837,1.0029106463756565,0.9348089070422664,1.0736771016490683,-0.013194190188008117
T_E120,-0.004104043062705364,-0.074617296935724,0.0637909908719679,1.0041033070932877,0.9362860468522519,1.074648199368979,-0.01308529888833922
P_V100,-0.004096691536810728,-0.07462262561672665,0.06376838449490005,1.0040966915368097,0.9362316155050998,1.0746226256167266,-0.01313871311172558
Pd_P150,-0.006429159938532625,-0.07784017436115254,0.06481380286422671,1.0063188546107715,0.9369135939330363,1.0772266281670064,-0.012680635577479577
HX150,0.00238279179577737,-0.06721965373782739,0.0731558155042789,0.9979060804026756,0.9287685817848361,1.0691451665657155,-0.012905716350786904
HX220,-0.005227710909106941,-0.07508912682785251,0.06443425143889707,1.0051800451147865,0.9362670793216049,1.0759868983498249,-0.013304396086126578
T_E220,-0.0029471663017761173,-0.07430135123441878,0.06597344430314124,1.0030351284655283,0.9342825279329169,1.073382049329334,-0.01279508168821791
Rr_D200,-0.0024706080681345375,-0.0732297999380994,0.06708523167823843,1.0025547434996507,0.9344872252518953,1.0732613042770291,-0.013013851351461094
Pc_D200,-0.0022360153376868304,-0.07263598263323245,0.06493914034326213,1.002224441754404,0.9315103925438196,1.0727887634205395,-0.012999815916504398
F_S220.1,-0.004096691536810728,-0.07462262561672665,0.06376838449490005,1.0040966915368097,0.9362316155050998,1.0746226256167266,-0.01313871311172558
