Feature,Global_Attribution_Score
Faradaic efficiency,0.9995519
Crossover rate,1.9464245e-05
Current density (A/cm2),1.2380043e-05
Capture energy (MJ/kgCO2),1.0655056e-05
Membrane cost (USD/m2),6.9907405e-06
Electricity price (USD/kWh),3.882446e-06
CO conversion,1.4901547e-06
Voltage (V),1.1278142e-06
