Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.0004750574481325894,0.0005627235888043336
Voltage (V),0.0005005869404273208,-0.00039371395169438895
Faradaic efficiency,0.0014707645925466184,0.0011567712820484699
CO conversion,0.24993074090754855,0.2460489705330635
Crossover rate,0.750600453516578,0.7483603493290344
Capture energy (MJ/kgCO2),0.0003636241393279745,-4.995107896478983e-05
Electricity price (USD/kWh),0.000670701713827372,0.00023951997411555525
Membrane cost (USD/m2),0.0011082182497649878,0.0011972323088707206
