Feature,Mean_Abs_SHAP
x26,0.6052684273659051
x7,0.542493654968731
x23,0.5197866160728418
x21,0.5191896326118917
x17,0.5085488068414471
x1,0.4427606448850568
x20,0.37934242698230186
x16,0.3501926627155082
x9,0.3314848814754106
x5,0.32349501121874774
x25,0.2467797237494737
x15,0.1859155734087884
x6,0.15204668720834524
x0,0.14029560655692405
x8,0.1319899148483353
x24,0.09704341856827454
x29,0.0776997228683319
x22,0.05751817211467779
x11,0.054466198740101765
x14,0.019335912098192652
x10,0.014402912863651906
x4,0.011390021183278911
x19,0.007173167620683795
x13,0.004831312292493628
x18,0.000719797717655214
x28,0.0006319030413470986
x3,0.00028953226073101404
x12,0.0
x2,0.0
x27,0.0
