Region_Index,Region_Label,x0_Unnamed: 0,x1_Acc. Surface Area [m^2/g],x2_Void Fraction,x3_PLD,x4_LCD,x5_Density,x6_Channel Volume
0,0.10<x2<0.36 & 0.10<x1<0.28,0.11526704,15.209317,7.5341682,15.317365,0.91577244,0.1804347,20.420538
1,0.36<x2<0.90 & 0.10<x1<0.28,0.066929184,9.05946,10.563735,5.2452855,0.24603018,0.09909783,9.393706
2,0.36<x2<0.90 & 0.28<x1<0.90,0.013382659,2.9845128,6.7308536,0.78415227,0.046058163,0.019810528,0.96307015
