Feature,Global_Attribution_Score
Void Fraction,0.6579981
Acc. Surface Area [m^2/g],0.41934305
Channel Volume,0.12566493
PLD,0.08393051
LCD,0.0049154996
Unnamed: 0,0.0026656054
Density,0.002092481
