Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper,S2_sum
Current density (A/cm2),-0.000808775067486611,-0.03883711118599437,0.035399835210265095,1.0007969844665172,0.9642646999181417,1.0388046203830688,-0.01956575590372061
Voltage (V),0.19506831074845324,0.11688918025017225,0.269525523788782,0.803743585626533,0.7290194935746761,0.8755736087161945,-0.012760602497504587
Faradaic efficiency,0.34920944207985233,0.2541179991053781,0.44714948753479056,0.6521122997529194,0.5538373896583187,0.7473103280830548,-0.009234626455415802
CO conversion,0.36449897278669985,0.2630701264210831,0.45995506327010793,0.6360468314153087,0.5301983670508541,0.7356809261341468,0.0011717563435455925
Crossover rate,-0.0009275143144994113,-0.03892660270928229,0.035317159016929354,1.0009318685201096,0.9646003336248365,1.0387917865796004,-0.019638096819707185
Capture energy (MJ/kgCO2),0.060037308281752334,0.004143376916333402,0.1177880555510088,0.9400850584198661,0.8866511547862728,0.9976956803937633,-0.0006951649470480145
Electricity price (USD/kWh),-0.0010899174742929486,-0.039048306637304846,0.0354935825943877,1.0011301845258467,0.9649075327355154,1.0384632735008332,-0.01911184794142326
Membrane cost (USD/m2),-0.0012158085576418796,-0.03866176952026637,0.034735157157393615,1.001230017424017,0.9652352416565785,1.0393083348808807,-0.01912779401509524
