Feature,Mean_SHAP,Abs_Mean_SHAP
Current density (A/cm2),-9.010250824738488e-06,9.010250824738488e-06
Voltage (V),0.00164630144884081,0.00164630144884081
Faradaic efficiency,0.0023154918102501905,0.0023154918102501905
CO conversion,0.0005829462400852179,0.0005829462400852179
Crossover rate,1.3862452641450223e-05,1.3862452641450223e-05
Capture energy (MJ/kgCO2),-0.0005051081459888641,0.0005051081459888641
Electricity price (USD/kWh),2.226709897044739e-05,2.226709897044739e-05
Membrane cost (USD/m2),-1.9858339466565242e-05,1.9858339466565242e-05
