,Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
Current density (A/cm2),0.0,-0.0028521507370101585,-0.002751835286524162,-0.0030802339130286964,-0.0027158090365485294,-0.0027619967946921563,-0.0026639986051068937,-0.0027397315308100127
Voltage (V),-0.0028521507370101585,0.0,0.005179394107116585,-0.0032800565132636676,-0.002714677733681604,-0.003554941780993671,-0.002792758762748421,-0.0027454110769236503
Faradaic efficiency,-0.002751835286524162,0.005179394107116585,0.0,-0.0008515782176972425,-0.002698733605297479,-0.0028474863219348067,-0.002742031283263669,-0.0025223558478150282
CO conversion,-0.0030802339130286964,-0.0032800565132636676,-0.0008515782176972425,0.0,-0.0030696844090133965,0.01718000896559066,-0.002789754995807251,-0.0029369445732348137
Crossover rate,-0.0027158090365485294,-0.002714677733681604,-0.002698733605297479,-0.0030696844090133965,0.0,-0.003038429920425039,-0.0026662366582175527,-0.002734525456523583
Capture energy (MJ/kgCO2),-0.0027619967946921563,-0.003554941780993671,-0.0028474863219348067,0.01718000896559066,-0.003038429920425039,0.0,-0.00284028060054216,-0.002832038494050841
Electricity price (USD/kWh),-0.0026639986051068937,-0.002792758762748421,-0.002742031283263669,-0.002789754995807251,-0.0026662366582175527,-0.00284028060054216,0.0,-0.0026167870357373113
Membrane cost (USD/m2),-0.0027397315308100127,-0.0027454110769236503,-0.0025223558478150282,-0.0029369445732348137,-0.002734525456523583,-0.002832038494050841,-0.0026167870357373113,0.0
