Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),4.8433787626894595e-05,2.027694615891987e-06
Voltage (V),0.21257155471950195,0.20799546989266895
Faradaic efficiency,0.3524344340769303,0.3482784439597169
CO conversion,0.3786058959548856,0.36214518303110294
Crossover rate,2.8325305840271285e-05,-6.138845815516177e-06
Capture energy (MJ/kgCO2),0.07809018466256896,0.060936055618187226
Electricity price (USD/kWh),4.886842542113686e-05,6.455938187191419e-05
Membrane cost (USD/m2),9.179616241456544e-05,0.00017569293811940952
